sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
36,"Presbyterian Blue Hose",30,21.2,36.7,25.4,1.202,21.2,12.4,8.8,58.6,58.6,0.04,4.4,58.6,21.2,12.4,8.8,58.6,0,0,0,,0
37,"Mississippi State Bulldogs",33,25.2,42.4,30.2,1.2,25.2,14.7,10.5,58.3,58.3,0.06,6.1,58.3,25.2,14.7,10.5,58.3,0,0,0,,0
38,"Rice Owls",32,23.7,40.5,28.4,1.199,23.7,13.7,10,57.7,57.7,0.07,6.6,57.7,23.7,13.7,10,57.7,0,0,0,,0
38,"Oregon State Beavers",31,19,32.4,22.7,1.199,19,10.9,8.1,57.5,57.5,0.07,7.1,57.5,19,10.9,8.1,57.5,0,0,0,,0
40,"New Mexico Lobos",34,24.1,39.3,28.9,1.198,24.1,13.9,10.3,57.4,57.4,0.07,6.8,57.4,24.1,13.9,10.3,57.4,0,0,0,,0
41,"North Texas Mean Green",32,21.1,37.6,25.2,1.194,21.1,12.1,9,57.3,57.3,0.08,8.3,57.3,21.1,12.1,9,57.3,0,0,0,,0
42,"Wyoming Cowgirls",33,24,44.1,28.6,1.192,24,13.9,10.1,57.8,57.8,0.05,4.7,57.8,24,13.9,10.1,57.8,0,0,0,,0
43,"Colorado State Rams",32,19,31.7,22.6,1.191,19,10.9,8.1,57.3,57.3,0.06,6.3,57.3,19,10.9,8.1,57.3,0,0,0,,0
43,"Sacramento State Hornets",34,19.9,37.1,23.7,1.191,19.9,11.6,8.3,58.3,58.3,0.05,4.7,58.3,19.9,11.6,8.3,58.3,0,0,0,,0
45,"Saint Joseph's Hawks",31,23,40.4,27.4,1.189,23,13.4,9.6,58.1,58.1,0.04,3.6,58.1,23,13.4,9.6,58.1,0,0,0,,0
45,"Oklahoma Sooners",33,28.4,41.7,33.8,1.189,28.4,16.3,12.1,57.4,57.4,0.05,5.3,57.4,28.4,16.3,12.1,57.4,0,0,0,,0
45,"High Point Panthers",32,21.2,38.1,25.2,1.189,21.2,12.3,8.9,57.9,57.9,0.05,5.2,57.9,21.2,12.3,8.9,57.9,0,0,0,,0
48,"Notre Dame Fighting Irish",33,29.6,49.1,35.2,1.188,29.6,16.9,12.7,57.2,57.2,0.07,6.6,57.2,29.6,16.9,12.7,57.2,0,0,0,,0
48,"Stephen F. Austin Lumberjacks",33,30.3,52.3,36,1.188,30.3,17.4,12.9,57.3,57.3,0.06,6.3,57.3,30.3,17.4,12.9,57.3,0,0,0,,0
50,"Syracuse Orange",33,23.1,34.6,27.4,1.187,23.1,13.3,9.8,57.6,57.6,0.06,5.7,57.6,23.1,13.3,9.8,57.6,0,0,0,,0
51,"Tulane Green Wave",32,22.5,38.6,26.7,1.184,22.5,12.9,9.7,57.1,57.1,0.05,5.4,57.1,22.5,12.9,9.7,57.1,0,0,0,,0
52,"Portland Pilots",32,26.3,47,31.1,1.183,26.3,15.2,11.1,57.7,57.7,0.05,4.9,57.7,26.3,15.2,11.1,57.7,0,0,0,,0
53,"Boston College Eagles",33,27.3,45.7,32.3,1.182,27.3,15.8,11.5,57.8,57.8,0.04,4.3,57.8,27.3,15.8,11.5,57.8,0,0,0,,0
54,"Maryland Terrapins",35,23.6,36.4,27.9,1.181,23.6,13.3,10.3,56.5,56.5,0.06,6.3,56.5,23.6,13.3,10.3,56.5,0,0,0,,0
54,"Illinois Fighting Illini",32,23,36.5,27.2,1.181,23,13.2,9.8,57.3,57.3,0.06,5.7,57.3,23,13.2,9.8,57.3,0,0,0,,0
56,"LSU Tigers",36,30.8,47,36.4,1.18,30.8,17.5,13.3,56.9,56.9,0.06,6.5,56.9,30.8,17.5,13.3,56.9,0,0,0,,0
56,"Akron Zips",29,21.6,38,25.5,1.18,21.6,12.2,9.4,56.5,56.5,0.08,7.5,56.5,21.6,12.2,9.4,56.5,0,0,0,,0
56,"Oklahoma State Cowgirls",33,24.7,40.1,29.2,1.18,24.7,14.1,10.7,56.9,56.9,0.06,5.9,56.9,24.7,14.1,10.7,56.9,0,0,0,,0
56,"Kansas Jayhawks",36,28.9,47.1,34.1,1.18,28.9,16.3,12.6,56.5,56.5,0.07,7.1,56.5,28.9,16.3,12.6,56.5,0,0,0,,0
60,"Marshall Thundering Herd",30,19,32.4,22.4,1.179,19,10.8,8.2,56.7,56.7,0.06,6.5,56.7,19,10.8,8.2,56.7,0,0,0,,0
61,"Tennessee Lady Volunteers",37,27.6,43,32.5,1.177,27.6,15.6,12,56.4,56.4,0.07,7.1,56.4,27.6,15.6,12,56.4,0,0,0,,0
62,"James Madison Dukes",34,19.9,32.9,23.4,1.176,19.9,11.1,8.8,55.9,55.9,0.07,7.4,55.9,19.9,11.1,8.8,55.9,0,0,0,,0
63,"Belmont Bruins",35,22.3,38.3,26.3,1.175,22.3,12.6,9.8,56.3,56.3,0.08,8.1,56.3,22.3,12.6,9.8,56.3,0,0,0,,0
63,"Villanova Wildcats",37,18.4,30.3,21.6,1.175,18.4,10.5,7.8,57.4,57.4,0.04,4,57.4,18.4,10.5,7.8,57.4,0,0,0,,0
