sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"South Carolina Gamecocks",38,3356,100,3219,0.959,2565,1253,1312,48.8,53.7,14.3,11.3,0.26,9.7,45.4,1913,1002,911,52.4,652,251,401,38.5,0.25
2,"Troy Trojans",34,3301,100,2744,0.831,2547,1060,1487,41.6,44.8,14.2,10.9,0.26,8.9,40,1975,897,1078,45.4,572,163,409,28.5,0.22
3,"Iowa Hawkeyes",39,3398,100,3541,1.042,2546,1261,1285,49.5,57.9,15.5,12.5,0.3,9.9,46.2,1408,836,572,59.4,1138,425,713,37.3,0.45
4,"LSU Tigers",37,3488,100,3163,0.907,2478,1136,1342,45.8,49.1,16.1,15.1,0.4,11.5,44.4,1979,975,1004,49.3,499,161,338,32.3,0.2
5,"Saint Louis Billikens",40,3401,100,2871,0.844,2462,1048,1414,42.6,47.2,18.3,11.3,0.29,8.6,39.4,1746,821,925,47,716,227,489,31.7,0.29
6,"Niagara Purple Eagles",35,3387,100,2464,0.727,2435,912,1523,37.5,41.6,19.5,10.1,0.26,7.6,34.6,1737,712,1025,41,698,200,498,28.7,0.29
7,"North Carolina State Wolfpack",38,3159,100,2786,0.882,2390,1010,1380,42.3,47.2,14.2,12.4,0.3,9.7,41.3,1668,776,892,46.5,722,234,488,32.4,0.3
8,"Texas-(Austin) Longhorns",38,3229,100,3032,0.939,2379,1159,1220,48.7,51.8,15.4,13.7,0.34,11.1,45.9,1977,1011,966,51.1,402,148,254,36.8,0.17
9,"Marshall Thundering Herd",33,3201,100,2800,0.875,2360,999,1361,42.3,49.7,16.7,11.6,0.29,8.5,39.7,1300,650,650,50,1060,349,711,32.9,0.45
10,"Florida State Seminoles",34,3014,100,2665,0.884,2352,971,1381,41.3,46.4,13,11.6,0.27,9.6,40.7,1579,730,849,46.2,773,241,532,31.2,0.33
11,"Georgia Southern Eagles",33,3222,100,2375,0.737,2333,903,1430,38.7,41.5,18,10.9,0.28,8.8,36.4,1800,773,1027,42.9,533,130,403,24.4,0.23
12,"Connecticut Huskies",38,3045,100,2985,0.98,2331,1147,1184,49.2,55,15.5,10.6,0.24,8.7,44.9,1580,878,702,55.6,751,269,482,35.8,0.32
13,"Oklahoma Sooners",34,3094,100,2582,0.835,2311,966,1345,41.8,47.6,17.4,9.3,0.23,7.4,38.6,1433,697,736,48.6,878,269,609,30.6,0.38
14,"Oral Roberts Golden Eagles",32,2977,100,2616,0.879,2297,982,1315,42.8,46.7,13.4,12,0.28,9.6,41.5,1649,799,850,48.5,648,183,465,28.2,0.28
15,"Stanford Cardinal",36,2959,100,2781,0.94,2289,1049,1240,45.8,51.6,14.3,10,0.24,7.7,43.2,1515,786,729,51.9,774,263,511,34,0.34
16,"Northern Arizona Lumberjacks",35,2994,100,2621,0.875,2283,957,1326,41.9,47.8,15.5,10.2,0.25,8.4,39.8,1477,687,790,46.5,806,270,536,33.5,0.35
17,"Notre Dame Fighting Irish",35,3038,100,2731,0.899,2282,1030,1252,45.1,49.4,15.9,11.3,0.27,9.3,42.3,1710,834,876,48.8,572,196,376,34.3,0.25
18,"Minnesota Golden Gophers",36,2980,100,2499,0.839,2272,944,1328,41.5,46.8,15.6,10.1,0.24,8.2,39,1511,704,807,46.6,761,240,521,31.5,0.33
19,"Louisiana-(Monroe) Warhawks",35,3012,100,2585,0.858,2253,917,1336,40.7,46.6,15.5,11.7,0.29,9.2,39.2,1414,653,761,46.2,839,264,575,31.5,0.37
20,"James Madison Dukes",35,3116,100,2527,0.811,2238,941,1297,42,46.4,18.5,11.6,0.3,8.8,38.8,1607,748,859,46.5,631,193,438,30.6,0.28
21,"Gonzaga Bulldogs",36,2924,100,2870,0.982,2225,1055,1170,47.4,55,15.9,9.8,0.24,7.9,43.7,1361,719,642,52.8,864,336,528,38.9,0.39
22,"Eastern Washington Eagles",35,2821,100,2392,0.848,2214,902,1312,40.7,46.3,14.2,8.5,0.2,6.9,38.8,1449,654,795,45.1,765,248,517,32.4,0.35
23,"Purdue Fort Wayne Mastodons",36,2933,100,2543,0.867,2212,907,1305,41,48.2,15.9,10.1,0.25,7.7,38.8,1282,588,694,45.9,930,319,611,34.3,0.42
24,"Penn State Lady Lions",35,3049,100,2888,0.947,2208,1066,1142,48.3,54.9,18.4,11,0.28,8.7,43.5,1417,772,645,54.5,791,294,497,37.2,0.36
25,"USC Trojans",35,2906,100,2595,0.893,2207,928,1279,42,48.2,14.2,11.7,0.28,8.9,40.6,1436,657,779,45.8,771,271,500,35.1,0.35
26,"Charleston Cougars",32,2876,100,2405,0.836,2203,876,1327,39.8,45.5,14.7,10.4,0.25,7.9,38.5,1457,623,834,42.8,746,253,493,33.9,0.34
27,"Mississippi State Bulldogs",35,2963,100,2638,0.89,2202,983,1219,44.6,49.5,16.3,11.8,0.29,9.9,42,1588,771,817,48.6,614,212,402,34.5,0.28
28,"UCLA Bruins",34,2951,100,2611,0.885,2198,974,1224,44.3,49.7,16.8,10.6,0.26,8.7,41,1447,737,710,50.9,751,237,514,31.6,0.34
29,"Stephen F. Austin Lumberjacks",34,2997,100,2561,0.855,2180,914,1266,41.9,47.5,17.6,12.3,0.3,9.8,39.6,1372,673,699,49.1,808,241,567,29.8,0.37
30,"Grambling State Tigers",33,3094,100,2354,0.761,2176,855,1321,39.3,43,19.4,11.8,0.32,9.3,36.8,1610,693,917,43,566,162,404,28.6,0.26
30,"Illinois Fighting Illini",35,2854,100,2614,0.916,2176,989,1187,45.5,49.7,14.9,10.7,0.26,8.7,43.2,1604,802,802,50,572,187,385,32.7,0.26
32,"Maryland Terrapins",34,2987,100,2652,0.888,2174,961,1213,44.2,48.8,16.8,12.4,0.31,10,42.1,1629,762,867,46.8,545,199,346,36.5,0.25
33,"Murray State Racers",32,2935,100,2701,0.92,2173,973,1200,44.8,50.6,16.3,12.2,0.29,9.8,42.3,1377,722,655,52.4,796,251,545,31.5,0.37
34,"Tennessee Lady Volunteers",34,2940,100,2555,0.869,2169,928,1241,42.8,48,16.5,11.7,0.29,9.1,40.6,1456,703,753,48.3,713,225,488,31.6,0.33
35,"Baylor Bears",34,2927,100,2534,0.866,2168,954,1214,44,50,18,10,0.24,8.4,39.6,1385,696,689,50.3,783,258,525,33,0.36
36,"Temple Owls",32,2831,100,2228,0.787,2163,846,1317,39.1,43.3,15.6,9.4,0.23,7.6,37.2,1560,663,897,42.5,603,183,420,30.3,0.28
37,"Eastern Kentucky Colonels",34,2972,100,2425,0.816,2154,879,1275,40.8,45.2,17,12.3,0.32,9.7,38.9,1557,691,866,44.4,597,188,409,31.5,0.28
37,"Villanova Wildcats",35,2697,100,2265,0.84,2154,875,1279,40.6,45.5,13.3,7.8,0.19,5.9,38.7,1425,663,762,46.5,729,212,517,29.1,0.34
39,"Washington State Cougars",36,2793,100,2474,0.886,2144,947,1197,44.2,49.4,16,9.1,0.22,7.5,40.7,1470,722,748,49.1,674,225,449,33.4,0.31
40,"UNLV Rebels",33,2685,100,2598,0.968,2137,981,1156,45.9,51.9,12.4,10.2,0.23,8,44.2,1408,724,684,51.4,729,257,472,35.3,0.34
41,"Nebraska Cornhuskers",35,2884,100,2514,0.872,2135,890,1245,41.7,48.5,16.5,11.3,0.28,8.2,39.6,1252,601,651,48,883,289,594,32.7,0.41
42,"California Baptist Lancers",32,2862,100,2558,0.894,2131,886,1245,41.6,48.9,15.8,12.2,0.3,9.6,40,1165,575,590,49.4,966,311,655,32.2,0.45
43,"Drake Bulldogs",35,3009,100,2841,0.944,2124,1030,1094,48.5,55.3,19.8,11.5,0.3,8.3,43.2,1245,740,505,59.4,879,290,589,33,0.41
44,"Boston College Eagles",33,2881,100,2324,0.807,2122,886,1236,41.8,45.3,17.3,11.4,0.28,9,38.8,1569,736,833,46.9,553,150,403,27.1,0.26
45,"Colorado Buffaloes",34,2818,100,2540,0.901,2121,962,1159,45.4,50.8,16.1,10.4,0.26,8.7,42.1,1463,733,730,50.1,658,229,429,34.8,0.31
46,"DePaul Blue Demons",32,2780,100,2265,0.815,2119,850,1269,40.1,45.6,16.5,8.9,0.21,7.7,37.1,1335,619,716,46.4,784,231,553,29.5,0.37
47,"Syracuse Orange",32,2799,100,2362,0.844,2115,871,1244,41.2,46.5,16,10.5,0.25,7.7,39,1405,647,758,46,710,224,486,31.5,0.34
48,"Virginia Cavaliers",32,2822,100,2305,0.817,2109,833,1276,39.5,44.6,16.4,10.6,0.26,8.2,37.8,1398,616,782,44.1,711,217,494,30.5,0.34
49,"Tulsa Golden Hurricane",35,2906,100,2464,0.848,2098,871,1227,41.5,49,18.6,11.1,0.28,7.4,37.8,1157,556,601,48.1,941,315,626,33.5,0.45
50,"Arkansas Razorbacks",33,2767,100,2281,0.824,2096,777,1319,37.1,43.9,14.3,12.1,0.29,9.9,37.3,1116,490,626,43.9,980,287,693,29.3,0.47
51,"Appalachian State Mountaineers",32,2943,100,2310,0.785,2085,800,1285,38.4,44,18.4,12.6,0.33,9.7,36.9,1305,565,740,43.3,780,235,545,30.1,0.37
51,"Southern Miss Golden Eagles",34,2878,100,2291,0.796,2085,870,1215,41.7,45,19,10.6,0.26,8.1,38.1,1591,733,858,46.1,494,137,357,27.7,0.24
51,"Rhode Island Rams",35,2821,100,2235,0.792,2085,845,1240,40.5,44.9,17.2,10.7,0.27,8.5,37.8,1467,661,806,45.1,618,184,434,29.8,0.3
54,"Texas-(San Antonio) Roadrunners",33,2843,100,2123,0.747,2082,821,1261,39.4,43.3,19,9.5,0.24,7.2,35.7,1521,660,861,43.4,561,161,400,28.7,0.27
55,"Alabama Crimson Tide",34,2871,100,2486,0.866,2079,893,1186,43,48.9,17.7,12.1,0.3,9.5,40.3,1362,644,718,47.3,717,249,468,34.7,0.34
56,"Florida Gators",32,2804,100,2384,0.85,2077,883,1194,42.5,47.3,16.5,11.4,0.28,9.7,39.9,1454,685,769,47.1,623,198,425,31.8,0.3
57,"Texas A&M Aggies",32,2726,100,2176,0.798,2075,840,1235,40.5,44.5,16.1,10.1,0.24,8.4,37.7,1461,674,787,46.1,614,166,448,27,0.3
58,"Arkansas-(Pine Bluff) Golden Lions",32,2897,100,2311,0.798,2074,839,1235,40.5,45,17.5,13,0.34,10.1,38.2,1444,649,795,44.9,630,190,440,30.2,0.3
59,"Utah Utes",34,2714,100,2621,0.966,2073,971,1102,46.8,55.2,16.4,9,0.21,7,42.6,1097,624,473,56.9,976,347,629,35.6,0.47
60,"Rice Owls",34,2813,100,2269,0.807,2071,822,1249,39.7,44.5,17.5,10.8,0.27,8.4,37.8,1424,622,802,43.7,647,200,447,30.9,0.31
61,"Pacific Tigers",34,2872,100,2413,0.84,2059,917,1142,44.5,48.4,19.7,10.4,0.27,7.9,40.2,1567,757,810,48.3,492,160,332,32.5,0.24
62,"Virginia Tech Hokies",33,2650,100,2468,0.931,2057,922,1135,44.8,52.1,15.2,8.8,0.21,6,41.5,1188,624,564,52.5,869,298,571,34.3,0.42
63,"Toledo Rockets",34,2744,100,2463,0.898,2056,902,1154,43.9,49.4,15.6,11.7,0.28,8.8,41.8,1357,673,684,49.6,699,229,470,32.8,0.34
