sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
64,"San Diego State Aztecs",35,2771,100,2308,0.833,2055,842,1213,41,45.6,16.3,11.1,0.28,8.6,39.5,1449,651,798,44.9,606,191,415,31.5,0.29
65,"Purdue Boilermakers",34,2759,100,2308,0.837,2049,842,1207,41.1,46.3,17.2,10.3,0.25,8.2,38.6,1379,628,751,45.5,670,214,456,31.9,0.33
65,"North Dakota State Bison",34,2860,100,2557,0.894,2049,905,1144,44.2,50.1,18,12.8,0.32,10,41.4,1369,660,709,48.2,680,245,435,36,0.33
67,"Arizona Wildcats",34,2796,100,2347,0.839,2048,893,1155,43.6,47.2,17.2,10.9,0.27,9.6,40.3,1565,745,820,47.6,483,148,335,30.6,0.24
68,"Memphis Tigers",30,2756,100,2016,0.731,2047,758,1289,37,41,16.7,10.5,0.26,8.2,34.9,1490,594,896,39.9,557,164,393,29.4,0.27
69,"Boise State Broncos",35,2804,100,2235,0.797,2046,812,1234,39.7,45.3,17.8,10.8,0.27,8.2,37,1371,581,790,42.4,675,231,444,34.2,0.33
70,"Cleveland State Vikings",36,2900,100,2659,0.917,2044,945,1099,46.2,51.1,17.2,15.2,0.39,12.4,43.7,1495,747,748,50,549,198,351,36.1,0.27
70,"Michigan Wolverines",34,2765,100,2370,0.857,2044,877,1167,42.9,48.8,17.7,10.3,0.25,8.1,39.3,1356,638,718,47.1,688,239,449,34.7,0.34
72,"Sacred Heart Pioneers",34,2732,100,2223,0.814,2041,822,1219,40.3,44.6,15.7,11.9,0.29,9.9,38.7,1404,646,758,46,637,176,461,27.6,0.31
73,"Kansas State Wildcats",34,2734,100,2427,0.888,2038,924,1114,45.3,50.7,17,10.9,0.26,8.5,41.4,1336,706,630,52.8,702,218,484,31.1,0.34
74,"Norfolk State Spartans",33,2700,100,2205,0.817,2036,815,1221,40,44.5,15.9,11.1,0.26,9.1,38.2,1443,631,812,43.7,593,184,409,31,0.29
75,"Texas A&M-(Commerce) Lions",31,2672,100,2126,0.796,2034,769,1265,37.8,43.3,15.3,10.1,0.25,8,36.7,1357,545,812,40.2,677,224,453,33.1,0.33
76,"California Golden Bears",34,2721,100,2242,0.824,2029,809,1220,39.9,46.8,17.8,8.9,0.22,6.8,36.9,1145,528,617,46.1,884,281,603,31.8,0.44
77,"Mercer Bears",32,2674,100,2063,0.772,2028,781,1247,38.5,42.7,16.6,8.9,0.22,7.3,36.2,1515,612,903,40.4,513,169,344,32.9,0.25
77,"North Carolina Tar Heels",33,2716,100,2216,0.816,2028,829,1199,40.9,45.1,15.3,11.8,0.29,8.2,39.4,1449,657,792,45.3,579,172,407,29.7,0.29
79,"Middle Tennessee State Blue Raiders",35,2675,100,2484,0.929,2027,871,1156,43,50.3,14.8,11.6,0.29,9.5,41.3,1152,574,578,49.8,875,297,578,33.9,0.43
80,"Stony Brook Seawolves",33,2792,100,2395,0.858,2022,866,1156,42.8,48.6,18.4,11.1,0.28,8.5,39.4,1309,632,677,48.3,713,234,479,32.8,0.35
80,"Louisville Cardinals",34,2825,100,2456,0.869,2022,902,1120,44.6,48.7,17.9,12.5,0.32,9.5,41.7,1500,738,762,49.2,522,164,358,31.4,0.26
80,"Holy Cross Crusaders",34,2645,100,2136,0.808,2022,803,1219,39.7,44.7,15.7,9.2,0.22,6.8,37.7,1390,601,789,43.2,632,202,430,32,0.31
80,"Texas-(Arlington) Mavericks",33,2782,100,2295,0.825,2022,845,1177,41.8,46.1,17.3,11.8,0.3,9.7,39.4,1461,669,792,45.8,561,176,385,31.4,0.28
84,"Nevada Wolf Pack",32,2675,100,2048,0.766,2020,761,1259,37.7,42.5,16.4,9.3,0.23,7.8,35.9,1418,567,851,40,602,194,408,32.2,0.3
85,"Florida Gulf Coast Eagles",34,2702,100,2538,0.939,2016,882,1134,43.8,51.7,14.8,12.8,0.31,10.5,42.2,980,560,420,57.1,1036,322,714,31.1,0.51
86,"East Carolina Pirates",33,2848,100,2152,0.756,2014,781,1233,38.8,42.1,19.2,12.4,0.32,9.6,36.5,1514,647,867,42.7,500,134,366,26.8,0.25
86,"Vanderbilt Commodores",33,2727,100,2243,0.823,2014,820,1194,40.7,45.9,17.1,11.3,0.27,8.7,38.2,1350,610,740,45.2,664,210,454,31.6,0.33
88,"Maine Black Bears",34,2591,100,2167,0.836,2011,810,1201,40.3,46.4,15.4,8.6,0.2,6.8,37.7,1181,563,618,47.7,830,247,583,29.8,0.41
89,"Santa Clara Broncos",34,2652,100,2352,0.887,2008,854,1154,42.5,49.3,16.4,9.3,0.23,7.3,39.9,1245,583,662,46.8,763,271,492,35.5,0.38
89,"Missouri State Lady Bears",33,2710,100,2279,0.841,2008,864,1144,43,47,16.3,11.1,0.28,8.9,40.6,1518,705,813,46.4,490,159,331,32.4,0.24
91,"Oregon State Beavers",35,2679,100,2462,0.919,2007,922,1085,45.9,52.7,17.1,9.8,0.24,7.1,41.5,1240,652,588,52.6,767,270,497,35.2,0.38
92,"Long Beach State 49ers",33,2922,100,2231,0.764,2006,809,1197,40.3,45.4,22.2,10.8,0.29,7.9,35.9,1328,604,724,45.5,678,205,473,30.2,0.34
93,"Ball State Cardinals",34,2715,100,2464,0.908,2005,883,1122,44,50.9,16.6,12.3,0.3,10.5,41.4,1160,609,551,52.5,845,274,571,32.4,0.42
94,"Old Dominion Lady Monarchs",32,2794,100,2038,0.729,2004,740,1264,36.9,41.3,18.3,11.4,0.3,8.2,35,1373,564,809,41.1,631,176,455,27.9,0.31
94,"South Dakota Coyotes",35,2820,100,2456,0.871,2004,842,1162,42,49,18.6,12.2,0.32,9,39.5,1136,563,573,49.6,868,279,589,32.1,0.43
96,"Georgia Tech Yellow Jackets",33,2669,100,2233,0.837,2002,832,1170,41.6,46.3,16.3,11.1,0.27,9.5,39.2,1348,643,705,47.7,654,189,465,28.9,0.33
96,"Duke Blue Devils",34,2777,100,2319,0.835,2002,880,1122,44,48.8,20.5,9.5,0.24,7.5,38.7,1388,688,700,49.6,614,192,422,31.3,0.31
98,"Northern Iowa Panthers",32,2605,100,2336,0.897,1999,867,1132,43.4,49.4,14.8,10.9,0.25,8.9,41,1265,626,639,49.5,734,241,493,32.8,0.37
99,"Towson Tigers",31,2627,100,2058,0.783,1998,752,1246,37.6,42.6,15.6,10.3,0.25,8.4,36.4,1342,555,787,41.4,656,197,459,30,0.33
100,"Portland Pilots",34,2841,100,2295,0.808,1997,838,1159,42,47.1,20.2,11.4,0.3,8.6,38.3,1318,634,684,48.1,679,204,475,30,0.34
101,"Belmont Bruins",35,2744,100,2468,0.899,1995,878,1117,44,51,17.6,12.3,0.31,9.4,41,1173,598,575,51,822,280,542,34.1,0.41
102,"Kent State Golden Flashes",32,2641,100,2280,0.863,1994,844,1150,42.3,47.7,15.6,10.9,0.26,8.8,39.9,1316,631,685,47.9,678,213,465,31.4,0.34
103,"Ohio State Buckeyes",32,2692,100,2537,0.942,1992,926,1066,46.5,52.4,15.6,12.7,0.31,10.3,43.7,1306,690,616,52.8,686,236,450,34.4,0.34
104,"George Mason Patriots",31,2651,100,2199,0.829,1989,778,1211,39.1,44.6,15,11.9,0.29,9.3,38.4,1307,559,748,42.8,682,219,463,32.1,0.34
105,"Wright State Raiders",33,2655,100,2304,0.868,1987,813,1174,40.9,47.5,16.2,10.9,0.27,8.9,39.1,1171,550,621,47,816,263,553,32.2,0.41
105,"Mississippi Rebels",33,2810,100,2256,0.803,1987,822,1165,41.4,43.9,17.5,14.3,0.37,12.1,39.5,1611,721,890,44.8,376,101,275,26.9,0.19
107,"Fresno State Bulldogs",33,2604,100,2110,0.81,1986,776,1210,39.1,44.7,15.6,9.4,0.23,7.7,37.4,1293,552,741,42.7,693,224,469,32.3,0.35
108,"West Virginia Mountaineers",33,2747,100,2425,0.883,1985,877,1108,44.2,50,17.3,12.8,0.32,9.8,41.4,1263,647,616,51.2,722,230,492,31.9,0.36
109,"South Florida Bulls",33,2634,100,2111,0.801,1984,776,1208,39.1,44.2,16.3,9.5,0.24,7.1,37.4,1313,574,739,43.7,671,202,469,30.1,0.34
110,"UNC Greensboro Spartans",33,2620,100,2080,0.794,1980,794,1186,40.1,44.1,15.6,10.6,0.26,8.5,37.8,1430,634,796,44.3,550,160,390,29.1,0.28
111,"Liberty Flames",34,2705,100,2227,0.823,1976,829,1147,42,47.8,19.1,9.5,0.24,7.6,37.9,1285,599,686,46.6,691,230,461,33.3,0.35
111,"Air Force Falcons",32,2616,100,2020,0.772,1976,748,1228,37.9,43,17.1,8.8,0.22,6.7,35.7,1311,544,767,41.5,665,204,461,30.7,0.34
113,"Wisconsin-(Green Bay) Phoenix",34,2551,100,2503,0.981,1972,939,1033,47.6,53.4,13.7,10.9,0.26,8.4,45.3,1303,712,591,54.6,669,227,442,33.9,0.34
114,"Florida International Panthers",33,2843,100,2252,0.792,1971,798,1173,40.5,45.5,20.5,12.4,0.33,9.6,37.2,1313,600,713,45.7,658,198,460,30.1,0.33
114,"Wichita State Shockers",32,2764,100,2036,0.737,1971,741,1230,37.6,41.6,18.9,11.9,0.3,9.1,35.6,1397,584,813,41.8,574,157,417,27.4,0.29
114,"Eastern Illinois Panthers",33,2759,100,2163,0.784,1971,803,1168,40.7,45.5,20.3,10.3,0.26,8.4,36.8,1340,617,723,46,631,186,445,29.5,0.32
117,"Coastal Carolina Chanticleers",33,2913,100,2180,0.748,1970,775,1195,39.3,42.9,20.8,14.2,0.38,10.9,36.7,1445,634,811,43.9,525,141,384,26.9,0.27
118,"Auburn Tigers",32,2718,100,2112,0.777,1968,788,1180,40,43.1,17.7,11.9,0.3,9.4,37.9,1540,668,872,43.4,428,120,308,28,0.22
119,"Montana Lady Griz",33,2570,100,2387,0.929,1967,844,1123,42.9,52,15.8,9.5,0.22,7.7,40,1032,487,545,47.2,935,357,578,38.2,0.48
119,"Illinois State Redbirds",34,2744,100,2506,0.913,1967,869,1098,44.2,50.3,17.3,13.7,0.35,10,42.2,1259,627,632,49.8,708,242,466,34.2,0.36
121,"Presbyterian Blue Hose",36,2778,100,2067,0.744,1966,780,1186,39.7,44.6,21.5,9,0.24,6.9,34.8,1300,587,713,45.2,666,193,473,29,0.34
122,"Illinois-Chicago Flames",34,2870,100,2344,0.817,1964,841,1123,42.8,46.6,19.7,14.3,0.38,10.5,39.8,1428,692,736,48.5,536,149,387,27.8,0.27
123,"Jackson State Tigers",32,2797,100,2252,0.805,1959,764,1195,39,43.4,16.9,14.6,0.4,12.2,39,1357,593,764,43.7,602,171,431,28.4,0.31
124,"Utah Tech University Trailblazers",32,2546,100,2335,0.917,1958,852,1106,43.5,51.9,15.9,9,0.21,7.6,40,999,525,474,52.6,959,327,632,34.1,0.49
124,"Iowa State Cyclones",33,2712,100,2479,0.914,1958,909,1049,46.4,53.7,19.2,10.4,0.27,7.6,41.5,1207,625,582,51.8,751,284,467,37.8,0.38
126,"Duquesne Dukes",33,2648,100,2255,0.852,1955,820,1135,41.9,48.5,17.5,10.6,0.26,7.9,38.9,1168,565,603,48.4,787,255,532,32.4,0.4
127,"UMKC Kangaroos",32,2698,100,2055,0.762,1950,797,1153,40.9,43.8,18.5,10.9,0.28,7.9,37.5,1519,681,838,44.8,431,116,315,26.9,0.22
128,"Vermont Catamounts",37,2560,100,2195,0.857,1949,859,1090,44.1,48.8,16.7,8.8,0.21,6.5,40.2,1367,674,693,49.3,582,185,397,31.8,0.3
129,"Evansville Aces",32,2835,100,2005,0.707,1948,693,1255,35.6,39.6,20.9,12.6,0.34,9.8,33.7,1345,538,807,40,603,155,448,25.7,0.31
129,"Houston Cougars",30,2616,100,2022,0.773,1948,724,1224,37.2,42.4,16.9,10.8,0.26,8.8,35.5,1253,522,731,41.7,695,202,493,29.1,0.36
131,"Mississippi Valley State Delta Devils",31,2758,100,1717,0.623,1947,624,1323,32,35.4,20.6,10.4,0.27,8.9,30.2,1420,494,926,34.8,527,130,397,24.7,0.27
132,"Kentucky Wildcats",32,2723,100,2040,0.749,1945,755,1190,38.8,42.8,18.7,12,0.3,9.7,36,1396,602,794,43.1,549,153,396,27.9,0.28
132,"Georgetown Hoyas",35,2641,100,2022,0.766,1945,770,1175,39.6,43.7,18.9,9.8,0.23,7.6,36,1380,610,770,44.2,565,160,405,28.3,0.29
134,"Fairfield Stags",33,2674,100,2387,0.893,1944,892,1052,45.9,53.4,20,9,0.23,7.1,39.8,1052,600,452,57,892,292,600,32.7,0.46
135,"Bethune-Cookman Wildcats",31,2750,100,2029,0.738,1941,729,1212,37.6,40.4,17.7,13.8,0.36,11.1,36.5,1486,617,869,41.5,455,112,343,24.6,0.23
136,"North Carolina Central Eagles",31,2820,100,1944,0.689,1940,714,1226,36.8,40.7,21.7,10.9,0.3,9.1,33.5,1390,564,826,40.6,550,150,400,27.3,0.28
137,"Nicholls State Colonels",32,2603,100,2008,0.771,1928,741,1187,38.4,43.4,17.4,9.9,0.25,8.1,36.2,1294,549,745,42.4,634,192,442,30.3,0.33
138,"Creighton Bluejays",32,2443,100,2339,0.957,1924,855,1069,44.4,51.9,13.8,9.3,0.21,6.8,42.1,1122,567,555,50.5,802,288,514,35.9,0.42
138,"Navy Midshipmen",31,2560,100,1915,0.748,1924,729,1195,37.9,42.1,17,9.2,0.23,7.9,35.2,1340,566,774,42.2,584,163,421,27.9,0.3
140,"UAB Blazers",32,2599,100,2301,0.885,1923,808,1115,42,49.1,16.8,11.5,0.28,9.8,39.7,1156,537,619,46.5,767,271,496,35.3,0.4
141,"Miami (FL) Hurricanes",32,2588,100,2146,0.829,1921,834,1087,43.4,48.8,18.8,9.1,0.22,7.7,38.4,1274,627,647,49.2,647,207,440,32,0.34
142,"Drexel Dragons",34,2512,100,1933,0.77,1920,761,1159,39.6,43.6,17,7.6,0.19,6.2,36.3,1420,609,811,42.9,500,152,348,30.4,0.26
143,"Michigan State Spartans",31,2510,100,2531,1.008,1918,922,996,48.1,55.4,14,12.1,0.29,9.4,45.5,1167,640,527,54.8,751,282,469,37.5,0.39
143,"Buffalo Bulls",33,2617,100,2166,0.828,1918,787,1131,41,45.9,17.1,11.5,0.29,9.2,38.9,1310,600,710,45.8,608,187,421,30.8,0.32
143,"Western Kentucky Hilltoppers",32,2592,100,2058,0.794,1918,748,1170,39,44.6,17.2,10.4,0.26,8.5,36.7,1189,534,655,44.9,729,214,515,29.4,0.38
146,"North Carolina A&T Aggies",33,2719,100,2054,0.755,1907,718,1189,37.7,41.4,19,12.9,0.34,9.8,36.3,1326,575,751,43.4,581,143,438,24.6,0.3
147,"North Carolina-Asheville Bulldogs",31,2591,100,1840,0.71,1903,686,1217,36,39.4,17.9,10,0.25,8,34.3,1368,559,809,40.9,535,127,408,23.7,0.28
148,"Richmond Spiders",35,2599,100,2523,0.971,1902,892,1010,46.9,55.2,17.7,11.1,0.28,8.4,43.1,1060,577,483,54.4,842,315,527,37.4,0.44
148,"Tennessee Tech Golden Eagles",32,2635,100,2231,0.847,1902,784,1118,41.2,47.6,18.6,11.5,0.29,9.2,38.4,1191,543,648,45.6,711,241,470,33.9,0.37
150,"New Mexico Lobos",32,2556,100,2061,0.806,1900,748,1152,39.4,45.1,17.1,10.6,0.26,9.2,37,1190,531,659,44.6,710,217,493,30.6,0.37
150,"Wofford Terriers",30,2427,100,1992,0.821,1900,720,1180,37.9,44,14.1,9.1,0.22,7.5,36.8,1147,488,659,42.5,753,232,521,30.8,0.4
152,"Georgia State Panthers",30,2592,100,2085,0.804,1899,757,1142,39.9,44.6,17.5,12.1,0.29,10.1,37.7,1289,578,711,44.8,610,179,431,29.3,0.32
153,"Dayton Flyers",31,2644,100,1963,0.742,1898,754,1144,39.7,43.3,20.9,9.4,0.23,8.1,35.3,1419,617,802,43.5,479,137,342,28.6,0.25
154,"Saint Joseph's Hawks",34,2517,100,2205,0.876,1897,825,1072,43.5,48.8,17,9.7,0.23,6.9,40.2,1286,623,663,48.4,611,202,409,33.1,0.32
155,"Cincinnati Bearcats",32,2708,100,1995,0.737,1896,671,1225,35.4,39.2,18.1,14,0.37,11.3,35.9,1376,525,851,38.2,520,146,374,28.1,0.27
156,"Central Arkansas Bears",33,2595,100,2160,0.832,1895,801,1094,42.3,47.7,18.4,11,0.27,9,38.7,1225,597,628,48.7,670,204,466,30.4,0.35
