sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
47,"Massachusetts Minutewomen",34,85.9,100,75.8,0.882,66,28.9,37.1,43.7,48.9,15.3,9.8,0.23,8.2,40.9,46.2,22,24.2,47.6,19.8,6.9,12.9,34.6,0.3
48,"Wofford Terriers",32,78.8,100,69.4,0.881,62.3,25,37.3,40.2,46.8,12.5,10.5,0.24,7.9,39.6,36.4,16.7,19.7,45.8,25.8,8.3,17.5,32.2,0.42
49,"Illinois State Redbirds",33,77.6,100,68.3,0.88,57.7,23.9,33.8,41.5,47.8,15.4,12.4,0.31,8.8,40.5,37.4,16.6,20.8,44.4,20.3,7.3,12.9,36.2,0.35
50,"Harvard Crimson",32,81,100,71.2,0.879,60.3,26.8,33.5,44.5,50.7,17.9,9.5,0.23,7.5,39.9,39.5,19.3,20.1,49,20.8,7.5,13.3,36,0.35
50,"Richmond Spiders",32,77.8,100,68.4,0.879,56.8,24.8,32,43.7,50.8,18.7,10.2,0.25,7.7,39.2,33.3,16.8,16.6,50.2,23.5,8.1,15.4,34.4,0.41
52,"Columbia Lions",34,88.8,100,78,0.878,64.5,28.1,36.4,43.5,50.4,17.5,11.8,0.3,9,40.4,38.4,19.2,19.1,50.2,26.1,8.9,17.3,33.9,0.41
52,"Lehigh Mountain Hawks",31,80,100,70.2,0.878,59.1,24.6,34.5,41.6,49.4,17.7,9.7,0.25,7.2,38.7,31.7,15.3,16.4,48.3,27.5,9.3,18.2,33.8,0.46
52,"South Dakota Coyotes",30,79.1,100,69.5,0.878,57.7,23.7,33.9,41.2,48.4,16.9,12,0.31,9.6,39.8,34.2,15.4,18.8,45,23.5,8.4,15.1,35.6,0.41
52,"St. John's Red Storm",32,73.9,100,64.9,0.878,54.6,23.7,30.9,43.4,49.1,17.1,10.9,0.27,8.6,40.5,37.2,17.4,19.8,46.7,17.4,6.3,11.1,36.3,0.32
56,"South Florida Bulls",34,79.7,100,69.9,0.877,57.5,25.4,32.1,44.1,49.8,18.2,11.7,0.3,9.2,40.7,38.9,18.8,20,48.4,18.7,6.6,12.1,35.1,0.32
56,"Wright State Raiders",32,74.9,100,65.7,0.877,58.1,24,34.1,41.3,49.9,16.1,8.1,0.19,7,37.8,30.1,13.9,16.2,46.3,28,10,17.9,35.9,0.48
58,"Tennessee Tech Golden Eagles",32,78.3,100,68.6,0.876,58,24.6,33.4,42.4,48.1,16.2,11.6,0.29,8.3,40.6,37.5,17.9,19.6,47.8,20.4,6.6,13.8,32.4,0.35
59,"Louisville Cardinals",38,83.2,100,72.9,0.875,61.6,27.5,34.1,44.7,49.1,17.2,10.9,0.27,8.1,41.3,45.4,22.1,23.3,48.6,16.2,5.4,10.7,33.7,0.26
59,"Seton Hall Pirates",34,81.2,100,71,0.875,61.2,26.8,34.4,43.8,48.4,16.4,10.1,0.24,7.9,40.8,42.3,21.1,21.2,49.8,18.9,5.7,13.2,30.2,0.31
61,"Michigan State Spartans",30,89.2,100,77.9,0.873,65.7,27.8,37.9,42.3,48.4,16,12.9,0.32,10.9,40.3,40.9,19.9,21,48.7,24.9,7.9,16.9,31.9,0.38
61,"Tennessee Lady Volunteers",37,88,100,76.8,0.873,64.2,28.5,35.6,44.5,48.6,16.9,12.6,0.31,10.3,41.7,47.1,23.2,23.9,49.3,17.1,5.4,11.8,31.2,0.27
63,"Cleveland State Vikings",35,84.7,100,73.8,0.872,59.6,25.3,34.3,42.5,47.7,17.2,14.8,0.39,11.9,40.9,41.4,19.1,22.3,46.1,18.3,6.3,12,34.3,0.31
63,"Arizona Wildcats",32,84.7,100,73.8,0.872,64.3,27.9,36.3,43.5,47.7,14.4,11.9,0.29,10,41.5,47.9,22.5,25.3,47.1,16.4,5.4,11,33,0.26
65,"Boston University Terriers",33,78,100,67.9,0.871,56.8,25.4,31.4,44.7,50.4,18.8,10.6,0.26,8,40.1,39,18.8,20.2,48.3,17.7,6.5,11.2,36.8,0.31
65,"UAB Blazers",31,81.1,100,70.6,0.871,57.9,24.3,33.6,41.9,49,18.6,12.3,0.32,9.5,39,32.9,16.1,16.8,48.9,25,8.2,16.8,32.7,0.43
65,"Montana Lady Griz",30,80.6,100,70.2,0.871,59.9,25.1,34.9,41.8,48.4,16.7,10.3,0.26,7.9,39.7,36.7,17.1,19.6,46.7,23.2,7.9,15.3,34.1,0.39
65,"Eastern Kentucky Colonels",32,87.9,100,76.5,0.871,65.1,27.3,37.7,42,48.2,16.9,11.3,0.28,8.7,39.7,41.3,19.4,21.9,47,23.8,8,15.8,33.5,0.37
69,"Notre Dame Fighting Irish",33,84.8,100,73.7,0.869,60.3,27.4,33,45.4,48.9,17.9,13.5,0.35,10.8,42.2,45.9,23.1,22.9,50.2,14.4,4.3,10.1,29.9,0.24
69,"Gardner-Webb Runnin Bulldogs",34,88.4,100,76.8,0.869,63.8,27.5,36.4,43,48.8,17.2,12.3,0.32,8.8,40.7,41.5,20.1,21.5,48.3,22.3,7.4,14.9,33.2,0.35
71,"Portland Pilots",32,79.5,100,69,0.868,55.9,25.3,30.5,45.4,50.8,19.9,11.5,0.3,8.2,40.9,37,19.3,17.7,52.1,18.9,6.1,12.8,32.1,0.34
72,"Saint Joseph's Hawks",31,76.1,100,66,0.867,56.9,24.3,32.6,42.6,47.9,16.2,10.5,0.26,8.1,40.6,38.4,18.2,20.1,47.5,18.5,6,12.5,32.5,0.33
72,"Abilene Christian Wildcats",30,81.4,100,70.5,0.867,59.9,25.9,34,43.2,50,17.6,10.1,0.26,7.5,39.6,34.2,17.8,16.4,51.9,25.7,8.1,17.6,31.6,0.43
74,"Youngstown State Penguins",30,77.5,100,66.9,0.864,57.8,24.6,33.3,42.5,49.3,16.9,10.6,0.26,8.2,39.2,32.4,16.7,15.7,51.5,25.4,7.9,17.5,31,0.44
75,"Buffalo Bulls",28,75.3,100,65,0.863,55.4,24,31.3,43.4,48.5,17.1,11.5,0.29,8.9,40.7,38.8,18.5,20.4,47.6,16.5,5.6,11,33.7,0.3
76,"Kansas Jayhawks",36,84.2,100,72.4,0.86,61.4,26.5,34.9,43.2,47.8,17.7,12.1,0.3,9.8,40.2,43.3,20.8,22.4,48.1,18.1,5.7,12.4,31.3,0.3
76,"North Carolina State Wolfpack",32,82.1,100,70.6,0.86,62,26.8,35.3,43.1,47.6,15.8,10.8,0.26,8.9,40.7,44.2,21.2,23,48,17.8,5.5,12.3,31.1,0.29
78,"Texas State Bobcats",33,78.1,100,67.1,0.859,57,24.2,32.8,42.4,47.7,16.9,11.9,0.3,8.1,40.2,38.9,18.1,20.8,46.5,18.2,6.1,12.1,33.6,0.32
79,"Rice Owls",32,82.9,100,71,0.856,58.4,25.3,33.1,43.4,48.6,18.8,12.7,0.33,8.6,40.3,39.2,19.2,20,49,19.3,6.2,13.1,32,0.33
80,"Tulsa Golden Hurricane",30,80.9,100,69.1,0.854,59.7,24.4,35.3,40.8,49.1,18,9.9,0.25,7.9,37.3,29.8,14.6,15.2,48.9,30,9.8,20.1,32.8,0.5
81,"Louisiana Tech Lady Techsters",32,75.9,100,64.8,0.853,53.7,23.1,30.6,43,47.5,18.6,12.9,0.33,10.1,40.2,39.1,18.3,20.8,46.8,14.6,4.8,9.8,32.9,0.27
81,"DePaul Blue Demons",33,89,100,75.9,0.853,68.5,28.5,40,41.6,47.1,15,10.1,0.24,8.7,39.4,44,20.9,23.1,47.5,24.5,7.6,16.9,31,0.36
81,"Iona Gaels",33,73.9,100,63,0.853,51.9,24.5,27.4,47.3,54.5,24,7.1,0.18,4.6,38.4,32.7,17.1,15.7,52.1,19.2,7.5,11.7,39,0.37
84,"Northern Illinois Huskies",33,82.3,100,70.2,0.852,62,25.3,36.7,40.8,47.3,16.2,10.1,0.25,7.9,38.4,38.2,17.3,20.9,45.3,23.8,8,15.8,33.7,0.38
84,"Mississippi State Bulldogs",33,82.8,100,70.5,0.852,59.3,26.3,32.9,44.4,49.3,18.7,12,0.3,9.5,40.3,42.6,20.5,22,48.3,16.7,5.8,10.9,34.7,0.28
86,"Missouri Tigers",32,75.3,100,64.1,0.851,54.9,23.4,31.5,42.6,49.3,19,9.8,0.25,8,38.4,33.4,16,17.4,47.9,21.5,7.4,14.1,34.3,0.39
86,"UC Santa Barbara Gauchos",33,78,100,66.4,0.851,54.4,23.2,31.2,42.6,47.4,19.1,13.4,0.36,9.6,40.3,37.8,18.1,19.8,47.7,16.5,5.1,11.4,31,0.3
86,"Texas Tech Lady Raiders",35,80.5,100,68.5,0.851,56.8,23.7,33,41.8,47,18.3,13.8,0.36,11,39.9,38.1,17.9,20.3,46.9,18.6,5.9,12.8,31.4,0.33
89,"High Point Panthers",32,75.5,100,64.2,0.85,55.7,23.6,32,42.4,49.4,18.3,9.9,0.24,7.4,38.2,31.1,15.8,15.2,51,24.6,7.8,16.8,31.6,0.44
90,"Lipscomb Bisons",32,81.5,100,69.2,0.849,59,25.1,33.9,42.6,48.7,18.2,12,0.3,9.5,39,37,17.8,19.2,48.2,22,7.3,14.7,33.1,0.37
90,"San Diego State Aztecs",34,76.9,100,65.2,0.849,56.9,24.5,32.4,43.1,47.9,17,10.7,0.27,8.7,40,41.3,19.1,22.2,46.2,15.6,5.4,10.1,34.9,0.27
92,"Arkansas Razorbacks",37,84.2,100,71.4,0.848,60.8,24.1,36.8,39.5,46.3,15.6,14.4,0.37,10.8,39.5,33,15.8,17.2,47.8,27.8,8.3,19.5,29.7,0.46
92,"Miami (OH) RedHawks",30,82.7,100,70.1,0.848,58.5,24.8,33.7,42.5,47.9,19.3,11.9,0.31,9,39.4,39.4,18.4,20.9,46.8,19.1,6.4,12.7,33.4,0.33
94,"Eastern Washington Eagles",29,81.5,100,69,0.847,62,25.2,36.7,40.7,46.2,15.3,10.6,0.25,8.4,39,41.5,18.5,23,44.6,20.5,6.8,13.7,33,0.33
95,"Texas-(Austin) Longhorns",36,85.9,100,72.6,0.845,62.9,27.8,35.1,44.2,47.5,16.8,12.3,0.3,9.7,41.3,50.6,23.7,26.9,46.8,12.3,4.1,8.2,33.4,0.2
95,"Washington State Cougars",34,79.1,100,66.9,0.845,58,24.9,33.2,42.8,48.5,18.2,9.8,0.25,7,39.4,37.9,18.3,19.6,48.4,20.1,6.5,13.6,32.4,0.35
95,"Akron Zips",29,80.2,100,67.7,0.845,56.8,23.9,32.9,42.1,47.6,19.2,12.3,0.31,9.6,39.2,35.8,17.7,18.1,49.5,21,6.2,14.8,29.6,0.37
98,"Kansas State Wildcats",36,82.6,100,69.7,0.844,58.5,23.3,35.2,39.8,46,17.7,13.5,0.35,10.2,39.1,33.2,16,17.2,48.1,25.3,7.3,18,28.9,0.43
99,"Southern Illinois Salukis",31,86.7,100,73,0.842,65,27.7,37.4,42.6,46.9,16.4,11.3,0.27,9.2,39.7,47.7,22,25.7,46.1,17.3,5.7,11.6,32.8,0.27
99,"Colorado Buffaloes",34,81.6,100,68.7,0.842,59.6,25.7,33.9,43.2,48.2,17.9,11,0.28,8.4,39.7,42.2,19.8,22.4,46.9,17.4,5.9,11.4,34.2,0.29
99,"Fairleigh Dickinson Knights",31,77.6,100,65.3,0.842,57.3,23.8,33.5,41.5,47.9,17.5,10.2,0.26,7.8,38.7,36.4,16.5,19.9,45.3,20.9,7.3,13.6,34.8,0.37
102,"Duquesne Dukes",31,80.7,100,67.9,0.841,60.3,24.6,35.7,40.8,47.5,16.4,10.9,0.27,8.2,38.3,35.9,16.6,19.3,46.3,24.4,8,16.4,32.8,0.4
103,"North Dakota Fighting Hawks",30,88.4,100,74.3,0.84,64.9,26.9,38,41.5,46,16.5,11.6,0.29,9.2,39.8,46.4,21.1,25.3,45.4,18.6,5.9,12.7,31.6,0.29
103,"Nebraska Cornhuskers",33,83.5,100,70.1,0.84,61.3,24.9,36.4,40.7,47.3,17.5,11.5,0.28,8.6,37.7,36.3,16.8,19.4,46.4,25.1,8.1,17,32.3,0.41
105,"Georgia Southern Eagles",30,93.7,100,78.6,0.838,67,28.5,38.5,42.5,47.5,17.8,12.8,0.33,10.1,39.7,47,21.8,25.2,46.4,20.1,6.7,13.4,33.4,0.3
105,"Long Beach State 49ers",33,73.9,100,61.9,0.838,55.2,23.4,31.8,42.4,47.6,17.9,9,0.22,7.3,38.6,36.4,17.7,18.7,48.6,18.8,5.7,13.1,30.4,0.34
105,"Northern Kentucky Norse",31,81.3,100,68.1,0.838,59.4,23.9,35.5,40.2,44.4,15,14.6,0.36,10.9,40,41,18.8,22.1,46,18.4,5,13.4,27.3,0.31
108,"Syracuse Orange",33,88.5,100,74.1,0.837,66.6,27.8,38.8,41.7,46.2,15.9,10.7,0.26,8.7,39.5,47.6,21.9,25.8,45.9,19,5.9,13.1,31.2,0.28
108,"Miami (FL) Hurricanes",35,83,100,69.5,0.837,60.3,26,34.3,43.1,47.5,18.4,11.5,0.28,9.4,39.7,43.1,20.7,22.4,48.1,17.1,5.3,11.9,30.7,0.28
108,"North Alabama Lions",30,78.5,100,65.7,0.837,60.3,24,36.4,39.7,47.3,16.6,8.1,0.19,6.6,36.5,32.5,14.8,17.8,45.4,27.8,9.2,18.6,33.1,0.46
111,"Butler Bulldogs",30,73.2,100,61.2,0.836,53.1,22.2,30.9,41.8,48.9,19.9,9.3,0.23,7.9,37.4,32.5,14.6,17.9,44.9,20.6,7.6,13,36.8,0.39
