sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
332,"Alabama A&M Bulldogs",29,78.4,100,54.4,0.694,54.8,18.8,36,34.3,38.2,19.8,12.4,0.33,10.3,33,38.6,14.6,24.1,37.7,16.2,4.3,11.9,26.4,0.3
332,"Arkansas-(Little Rock) Trojans",32,75.2,100,52.2,0.694,53.5,20.1,33.4,37.6,38.2,18.4,12.5,0.32,10.4,35.7,49.5,19.5,30,39.4,4,0.6,3.4,15.5,0.08
332,"Xavier Musketeers",30,79.3,100,55,0.694,56.7,20.9,35.8,36.9,40.9,21.1,9,0.23,7.5,32.9,42.1,16.4,25.7,38.9,14.6,4.6,10.1,31.2,0.26
332,"New Hampshire Wildcats",28,77.1,100,53.5,0.694,55.4,18.9,36.4,34.2,38.5,19.3,10.5,0.27,8.7,32.9,38.4,14.2,24.2,37,17,4.7,12.3,27.8,0.31
336,"Manhattan Jaspers",33,86.2,100,59.7,0.693,61.2,21.9,39.3,35.8,38.9,19.9,10.5,0.28,7.7,33.9,46.1,18,28.1,39.1,15,3.8,11.2,25.6,0.25
337,"UCF Knights",29,86.8,100,60.1,0.692,60.4,20.6,39.9,34,38.2,19.7,12.6,0.34,10.1,33.3,43.1,15.4,27.7,35.8,17.3,5.1,12.2,29.5,0.29
338,"Niagara Purple Eagles",31,94.8,100,65.5,0.691,68.4,24.1,44.2,35.3,38.5,18.8,10.8,0.28,8.4,33.6,50.5,19.7,30.7,39.1,17.9,4.4,13.5,24.5,0.26
338,"Bethune-Cookman Wildcats",29,87.4,100,60.3,0.691,60.3,20.9,39.4,34.7,38,18.8,14,0.38,10.9,34.3,45.9,16.9,29,36.9,14.4,4,10.4,27.8,0.24
340,"Grambling State Tigers",30,81.4,100,56,0.688,58.3,20.5,37.8,35.1,38.5,19.1,10.9,0.28,9,33.6,41.7,16.5,25.2,39.6,16.6,3.9,12.6,23.7,0.28
341,"Florida A&M Rattlers",29,84.2,100,57.6,0.684,57.9,21.8,36.1,37.6,41.3,22.7,9.8,0.27,7.8,33,41.7,17.4,24.2,41.8,16.2,4.3,11.9,26.8,0.28
342,"Winthrop Eagles",31,76,100,51.7,0.681,51.6,19.2,32.4,37.3,40.8,23.5,10.7,0.28,8.8,33,37.9,15.6,22.3,41.2,13.7,3.6,10.1,26.4,0.27
343,"St. Bonaventure Bonnies",32,76.1,100,51.8,0.68,53.9,18.5,35.5,34.2,39.7,21.4,9.2,0.24,7.7,31,32.9,12.5,20.4,38,21,5.9,15.1,28.3,0.39
344,"Detroit Titans",30,82.7,100,55.6,0.672,56.4,21,35.4,37.3,40.1,23.5,10.2,0.27,8,32.9,41.5,17.9,23.6,43.1,14.9,3.2,11.7,21.3,0.26
344,"South Alabama Jaguars",30,81.3,100,54.6,0.672,58.2,19.3,38.9,33.1,38.4,19.8,10.6,0.27,8.9,30.9,35.3,13.2,22.1,37.3,22.9,6.1,16.8,26.7,0.39
