Name,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId,#,P
Yale,200:00,,27,66,5,14,5,15,64,17,24,41,9,15,6,3,17,0,0,591964,591817,5731182,,
Monmouth,200:00,,23,59,0,11,15,23,61,16,28,44,3,19,6,7,15,0,0,591817,591964,5731182,,
Notre Dame,200:00,,45,75,3,17,12,17,105,14,35,49,21,17,15,11,13,0,0,591997,592223,5728654,,
Mercyhurst,200:00,,23,67,5,16,10,14,61,11,19,30,7,20,6,1,20,0,0,592223,591997,5728654,,
Georgia,200:00,,32,78,7,20,25,30,96,23,36,59,18,14,13,2,17,1,0,591758,591840,5735001,,
N.C. Central,200:00,,21,58,4,15,6,13,52,3,24,27,11,21,5,2,25,1,0,591840,591758,5735001,,
Virginia Tech,200:00,,42,68,8,18,7,9,99,10,31,41,23,16,10,4,14,0,0,591944,591828,5731682,,
UNCW,200:00,,21,56,4,18,11,14,57,4,17,21,12,20,6,2,17,0,0,591828,591944,5731682,,
Charlotte,200:00,,27,57,4,18,19,28,77,13,15,28,20,21,13,1,19,0,0,591826,592009,5737296,,
Presbyterian,200:00,,23,50,5,21,12,16,63,13,22,35,13,35,7,0,24,1,0,592009,591826,5737296,,
Rhode Island,200:00,,27,72,4,17,10,16,68,22,29,51,12,16,15,10,15,0,0,591875,591977,5735836,,
Stonehill,200:00,,18,54,2,18,7,8,45,8,26,34,9,25,5,2,22,1,0,591977,591875,5735836,,
SMU,200:00,,33,70,3,20,8,12,77,20,26,46,16,10,6,3,17,1,0,591903,591839,5733228,,
N.C. A&T,200:00,,22,59,7,21,13,16,64,13,19,32,11,10,3,3,14,0,0,591839,591903,5733228,,
Arizona,200:00,,25,63,4,18,19,22,73,9,33,42,12,19,11,4,24,0,0,591676,591924,5729202,,
UT Arlington,200:00,,17,52,3,12,17,26,54,7,26,33,5,21,8,1,25,1,0,591924,591676,5729202,,
Grand Canyon,200:00,,30,63,14,26,19,27,93,4,28,32,21,16,14,0,16,0,0,591970,591699,5723131,,
CSU Bakersfield,200:00,,21,54,0,17,10,18,52,7,22,29,9,25,9,4,21,0,0,591699,591970,5723131,,
Alabama,200:00,,45,86,14,31,11,18,115,22,27,49,24,17,23,5,14,0,0,591669,591836,5730196,,
New Orleans,200:00,,21,52,5,14,6,8,53,4,23,27,8,35,12,4,16,0,0,591836,591669,5730196,,
SFA,200:00,,29,60,18,39,10,10,86,5,32,37,18,29,16,5,10,0,0,591911,591922,5728383,,
Texas Southern,200:00,,19,73,3,17,4,8,45,14,21,35,10,25,17,1,15,0,1,591922,591911,5728383,,
Oklahoma St.,200:00,,32,56,12,23,20,25,96,10,22,32,16,11,8,2,18,0,0,591857,591973,5722718,,
Ark.-Pine Bluff,200:00,,14,46,1,10,14,17,43,10,17,27,1,22,3,4,24,1,0,591973,591857,5722718,,
Oklahoma,200:00,,29,61,3,22,15,23,76,15,39,54,15,18,4,4,14,0,0,591858,591905,5735321,,
Southern U.,200:00,,16,62,5,18,7,10,44,4,17,21,9,10,12,4,24,0,0,591905,591858,5735321,,
South Carolina St.,200:00,,22,41,3,10,5,7,52,5,14,19,4,12,4,0,12,0,1,591896,591751,5809690,,
Furman,200:00,,23,42,5,11,5,8,56,5,13,18,9,17,4,1,13,0,0,591751,591896,5809690,,
Buffalo,200:00,,23,65,7,20,27,38,80,13,32,45,16,8,7,0,24,1,0,591696,591929,5722058,,
Troy,200:00,,29,69,10,35,10,21,78,15,36,51,11,18,3,8,33,2,0,591929,591696,5722058,,
Northern Ky.,200:00,,20,51,9,29,9,13,58,6,27,33,14,19,2,0,17,0,0,591851,591994,5729961,,
Middle Tenn.,200:00,,27,64,9,30,16,20,79,13,29,42,11,8,9,4,16,0,0,591994,591851,5729961,,
Colgate,200:00,,24,57,9,23,17,20,74,8,22,30,17,11,8,2,20,0,0,591720,591794,5728355,,
UMass Lowell,200:00,,23,51,3,8,13,17,62,8,27,35,14,19,6,1,20,1,0,591794,591720,5728355,,
South Fla.,200:00,,34,64,9,23,10,17,87,17,27,44,22,18,8,4,19,0,0,591898,591685,5728843,,
Bethune-Cookman,200:00,,15,53,1,5,13,21,44,12,17,29,6,20,11,0,18,0,0,591685,591898,5728843,,
Lehigh,200:00,,32,56,9,25,10,16,83,6,21,27,17,15,14,4,14,0,0,591787,591789,5725963,,
LIU,196:42,,25,55,4,13,5,10,59,8,22,30,6,23,6,0,18,1,0,591789,591787,5725963,,
Akron,200:00,,20,53,8,20,33,41,81,14,33,47,14,18,4,4,17,2,0,591666,591756,5731029,,
Georgia St.,200:00,,26,72,11,33,10,12,73,13,23,36,11,13,9,9,33,2,0,591756,591666,5731029,,
Rider,200:00,,17,53,3,14,15,18,52,6,27,33,9,23,8,2,15,0,0,591876,591936,5733573,,
Navy,200:00,,28,70,8,24,10,15,74,16,31,47,18,18,10,3,16,0,0,591936,591876,5733573,,
Norfolk St.,200:00,,28,68,8,25,6,12,70,16,35,51,13,9,8,3,12,0,1,591996,591957,5731855,,
William & Mary,200:00,,20,59,4,20,5,12,49,9,26,35,9,13,3,4,10,0,0,591957,591996,5731855,,
Holy Cross,200:00,,26,46,6,13,16,25,74,3,25,28,15,16,5,0,21,1,0,591988,591873,5734289,,
Quinnipiac,200:00,,27,69,7,20,17,25,78,14,17,31,10,10,10,0,20,1,0,591873,591988,5734289,,
Bryant,200:00,,26,56,5,20,8,14,65,14,33,47,17,27,9,6,17,0,0,591694,591661,5733543,,
Merrimack,200:00,,18,66,4,20,10,16,50,18,20,38,9,18,12,2,20,2,0,591661,591694,5733543,,
Elon,200:00,,25,55,2,7,14,25,66,8,18,26,10,11,10,3,19,0,0,591968,591658,5733744,,
High Point,200:00,,21,47,10,24,13,17,65,9,26,35,11,24,6,3,22,1,0,591658,591968,5733744,,
Vermont,200:00,,26,51,6,18,4,5,62,10,15,25,16,19,10,5,20,0,0,591941,591816,5733393,,
Missouri,200:00,,12,30,2,5,20,25,46,7,15,22,4,26,8,2,15,0,0,591816,591941,5733393,,
South Dakota,225:00,,28,72,8,26,19,24,83,11,30,41,13,16,4,1,23,1,0,591897,591883,5735542,,
Saint Louis,225:00,,30,75,2,18,23,26,85,13,35,48,13,15,9,6,24,1,0,591883,591897,5735542,,
Ball St.,200:00,,23,53,3,17,11,20,60,7,33,40,12,23,10,8,12,0,1,591682,591859,5810364,,
Old Dominion,200:00,,16,64,2,16,12,16,46,17,28,45,7,24,15,1,25,2,1,591859,591682,5810364,,
Eastern Mich.,200:00,,25,54,7,22,14,20,71,12,25,37,17,19,5,4,21,1,0,591742,591908,5730286,,
Texas St.,200:00,,27,68,4,17,17,24,75,19,20,39,10,12,13,2,20,0,0,591908,591742,5730286,,
Florida A&M,200:00,,23,62,8,14,12,24,66,18,21,39,10,22,11,2,21,0,0,591745,591767,5737810,,
Howard,200:00,,30,57,6,16,12,19,78,9,24,33,9,22,12,4,19,0,0,591767,591745,5737810,,
Central Mich.,200:00,,24,62,3,20,11,21,62,15,30,45,12,26,6,0,19,0,0,591714,591719,5732223,,
Coastal Carolina,200:00,,24,61,9,25,8,16,65,8,25,33,16,21,9,6,22,0,0,591719,591714,5732223,,
Washington St.,225:00,,27,71,8,28,21,28,83,8,29,37,11,8,11,8,20,0,0,591948,591986,5731471,,
Eastern Wash.,225:00,,32,71,10,16,8,19,82,15,37,52,16,19,3,1,21,0,0,591986,591948,5731471,,
