Date,Opponent,Result,Attendance,GameID
11/06/2023,"('Bradley', '/teams/560625')",W 73-66,"('1,203', None)",3970221
11/11/2023,"('@ UTEP', '/teams/561157')",L 60-62,"('1,093', None)",3970806
11/14/2023,"('Utah St.', '/teams/561181')",L 60-62,"('462', None)",3971414
11/18/2023,"('Kansas @Kansas City, MO', '/teams/560831')",L 61-70,"('867', None)",3972102
11/22/2023,"('Chicago St. @Cleveland, OH (23-24 WBB Viking Invitational)', '/teams/560675')",W 77-46,"('418', None)",3972603
11/24/2023,"('Austin Peay @Cleveland, OH (23-24 WBB Viking Invitational)', '/teams/560605')",L 63-78,"('380', None)",3972692
11/25/2023,"('@ Cleveland St. 23-24 WBB Viking Invitational', '/teams/560681')",L 55-82,"('374', None)",3972987
12/02/2023,"('Arkansas St.', '/teams/560597')",W 62-57,"('544', None)",3973950
12/06/2023,"('Bellevue', None)",W 84-34,"('391', None)",3974353
12/10/2023,"('Western Ill.', '/teams/561213')",W 68-60,"('561', None)",3974991
12/14/2023,"('Alabama A&M', '/teams/560578')",W 57-52,"('530', None)",3975220
12/18/2023,"('Kansas Christian', None)",W 121-37,"('408', None)",3975680
12/21/2023,"('@ Missouri', '/teams/560907')",L 42-85,"('4,152', None)",3976027
12/29/2023,"('@ Oral Roberts', '/teams/561003')",L 61-76,"('1,335', None)",3976191
12/31/2023,"('St. Thomas (MN)', '/teams/560734')",L 57-66,"('472', None)",3976532
01/03/2024,"('Portland St.', '/teams/561021')",W 75-56,"('374', None)",3976821
01/06/2024,"('@ Weber St.', '/teams/561207')",W 61-51,"('356', None)",3977098
01/11/2024,"('@ North Dakota St.', '/teams/560965')",L 60-63,"('1,027', None)",3977961
01/13/2024,"('@ North Dakota', '/teams/560967')",L 62-76,"('1,405', None)",3978144
01/20/2024,"('Omaha', '/teams/560936')",W 88-74,"('292', None)",3979370
01/25/2024,"('South Dakota St.', '/teams/561089')",L 49-72,"('559', None)",3979995
01/27/2024,"('@ South Dakota', '/teams/561093')",L 62-72,"('2,606', None)",3980365
02/01/2024,"('@ Denver', '/teams/560717')",L 50-65,"('245', None)",3980985
02/03/2024,"('@ St. Thomas (MN)', '/teams/560734')",L 55-75,"('445', None)",3981135
02/08/2024,"('North Dakota St.', '/teams/560965')",L 59-70,"('582', None)",3982013
02/10/2024,"('North Dakota', '/teams/560967')",W 86-71,"('735', None)",3982408
02/15/2024,"('@ South Dakota St.', '/teams/561089')",L 53-74,"('1,828', None)",3982989
02/22/2024,"('South Dakota', '/teams/561093')",L 60-74,"('470', None)",3983764
02/24/2024,"('@ Omaha', '/teams/560936')",W 72-56,"('404', None)",3984014
02/29/2024,"('Denver', '/teams/560717')",L 60-74,"('771', None)",3984320
03/02/2024,"('Oral Roberts', '/teams/561003')",L 56-94,"('605', None)",3984522
03/08/2024,"('#9 Omaha @Sioux Falls, SD (23-24 WBB Summit League Tournament)', '/teams/560936')",L 55-61,"('7,611', None)",5250276
11/06/2023,"('@ Florida', '/teams/560757')",L 65-82,"('1,112', None)",3970197
11/09/2023,"('Trinity Baptist', None)",W 116-44,"('2,200', None)",3970494
11/13/2023,"('Fla. Atlantic', '/teams/560751')",L 75-84 (1 OT),"('599', None)",3971277
11/15/2023,"('@ Gonzaga', '/teams/560776')",L 55-83,"('4,845', None)",3971431
11/19/2023,"('@ South Fla.', '/teams/561095')",L 55-56,"('4,534', None)",3972256
11/24/2023,"('@ Ga. Southern 23-24 WBB GATA Turkey Throwdown', '/teams/560768')",L 75-85,"('459', None)",3972770
11/25/2023,"('USC Upstate @Statesboro, GA (23-24 WBB GATA Turkey Throwdown)', '/teams/560551')",L 60-73,"('100', None)",3972835
11/29/2023,"('Warner', None)",W 68-51,"('319', None)",3973433
12/02/2023,"(""@ Saint Joseph's"", '/teams/561060')",L 65-84,"('517', None)",3973744
12/04/2023,"('@ Coppin St.', '/teams/560697')",W 49-43,"('3,552', None)",3974154
12/13/2023,"('Piedmont', '/teams/562506')",W 105-66,"('101', None)",3975158
12/16/2023,"('@ Kansas St.', '/teams/560829')",L 53-79,"('3,419', None)",3975466
12/20/2023,"('Winthrop', '/teams/561223')",W 55-49,"('283', None)",3975851
12/29/2023,"('Florida A&M', '/teams/560749')",W 76-71 (1 OT),"('559', None)",3976186
01/04/2024,"('Stetson', '/teams/561128')",L 57-61,"('329', None)",3976960
01/06/2024,"('FGCU', '/teams/560561')",L 38-70,"('346', None)",3977271
01/11/2024,"('@ Kennesaw St.', '/teams/561250')",L 43-52,"('506', None)",3977849
01/13/2024,"('@ Queens (NC)', '/teams/561260')",W 76-57,"('144', None)",3978324
01/25/2024,"('Bellarmine', '/teams/561171')",L 63-69,"('346', None)",3979974
01/27/2024,"('Eastern Ky.', '/teams/560737')",L 56-79,"('467', None)",3980277
02/01/2024,"('@ North Ala.', '/teams/560572')",L 51-60,"('1,117', None)",3980947
02/03/2024,"('@ Central Ark.', '/teams/561240')",L 44-58,"('722', None)",3981290
02/07/2024,"('Austin Peay', '/teams/560605')",W 52-50,"('396', None)",3981811
02/10/2024,"('@ Lipscomb', '/teams/560559')",L 82-94 (2 OT),"('563', None)",3982304
02/15/2024,"('Jacksonville', '/teams/560825')",L 60-77,"('456', None)",3979279
02/17/2024,"('@ Jacksonville', '/teams/560825')",L 60-73,"('317', None)",3983091
02/22/2024,"('Queens (NC)', '/teams/561260')",L 72-77,"('319', None)",3983746
02/24/2024,"('Kennesaw St.', '/teams/561250')",W 91-84 (2 OT),"('335', None)",3983927
02/29/2024,"('@ FGCU', '/teams/560561')",L 33-75,"('1,830', None)",3984328
03/02/2024,"('@ Stetson', '/teams/561128')",L 56-59,"('431', None)",3984389
11/07/2023,"('Our Lady of the Lake', None)",W 68-40,"('557', None)",3970333
11/12/2023,"('New Mexico St.', '/teams/560946')",L 52-59,"('103', None)",3971166
11/15/2023,"('@ TCU', '/teams/561148')",L 55-61,"('4,754', None)",3971454
11/19/2023,"('UTRGV', '/teams/561011')",W 67-57,"('261', None)",3972242
11/27/2023,"('@ Prairie View', '/teams/561025')",W 57-44,"('246', None)",3973163
12/02/2023,"('Dallas Christian', None)",W 103-52,"('95', None)",3973946
12/10/2023,"('@ Tarleton St.', '/teams/560568')",W 57-42,"('419', None)",3974983
12/13/2023,"('@ Texas Tech', '/teams/561151')",L 35-76,"('13,743', None)",3975117
12/16/2023,"(""St. Edward's"", '/teams/561337')",W 57-49,"('164', None)",3975430
12/20/2023,"('Texas Lutheran', '/teams/562060')",W 70-36,"('126', None)",3975869
12/31/2023,"('@ Arkansas', '/teams/560599')",L 48-67,"('3,420', None)",3976507
01/04/2024,"('@ Lamar University', '/teams/560841')",L 53-70,"('603', None)",3976931
01/06/2024,"('A&M-Corpus Christi', '/teams/560556')",L 61-63,"('136', None)",3977345
01/11/2024,"('@ Tex. A&M-Commerce', '/teams/561268')",W 70-62,"('238', None)",3977841
01/13/2024,"('@ Northwestern St.', '/teams/560986')",W 63-57,"('411', None)",3978227
01/18/2024,"('Nicholls', '/teams/560954')",L 59-65,"('120', None)",3978864
01/20/2024,"('McNeese', '/teams/560882')",W 67-55,"('349', None)",3979359
01/27/2024,"('Houston Christian', '/teams/560793')",W 77-49,"('181', None)",3980358
02/01/2024,"('@ Southeastern La.', '/teams/561099')",L 86-93 (3 OT),"('1,248', None)",3980992
02/03/2024,"('@ New Orleans', '/teams/560950')",W 64-54,"('440', None)",3981415
02/08/2024,"('Lamar University', '/teams/560841')",L 68-72,"('192', None)",3981991
02/10/2024,"('@ Houston Christian', '/teams/560793')",W 67-40,"('231', None)",3982253
02/15/2024,"('Tex. A&M-Commerce', '/teams/561268')",W 72-61,"('104', None)",3982872
02/17/2024,"('Northwestern St.', '/teams/560986')",W 53-45,"('110', None)",3983357
02/22/2024,"('@ Nicholls', '/teams/560954')",W 52-47,"('433', None)",3983648
02/24/2024,"('@ McNeese', '/teams/560882')",W 61-48,"('347', None)",3983877
02/29/2024,"('Southeastern La.', '/teams/561099')",W 53-51,"('169', None)",3984294
03/02/2024,"('New Orleans', '/teams/560950')",W 79-76 (2 OT),"('319', None)",3984517
03/06/2024,"('@ A&M-Corpus Christi', '/teams/560556')",L 43-65,"('1,744', None)",3984637
03/12/2024,"('#5 Tex. A&M-Commerce @Lake Charles, LA (23-24 WBB Southland Tournament)', '/teams/561268')",L 57-66,"('0', None)",5249953
11/06/2023,"('@ Wake Forest', '/teams/561201')",L 65-75,"('712', None)",3970282
11/09/2023,"('Erskine', '/teams/561289')",W 85-47,"('789', None)",3970529
11/11/2023,"('UNCW', '/teams/560932')",W 74-49,"('428', None)",3970995
11/14/2023,"('N.C. Central', '/teams/560960')",W 82-52,"('512', None)",3971390
11/17/2023,"('@ High Point', '/teams/560554')",L 64-80,"('937', None)",3971807
11/21/2023,"('@ Davidson', '/teams/560706')",L 51-81,"('2,761', None)",3972349
11/27/2023,"('Southern Wesleyan', '/teams/561527')",W 65-42,"('386', None)",3973194
11/29/2023,"('UNC Asheville', '/teams/560925')",W 63-54,"('340', None)",3973444
12/02/2023,"('Bellarmine', '/teams/561171')",L 59-61,"('323', None)",3973906
12/04/2023,"('Emory & Henry', '/teams/561794')",W 60-34,"('412', None)",3974188
12/16/2023,"('@ Virginia', '/teams/561198')",W 71-70,"('3,955', None)",3975331
12/19/2023,"('@ Tennessee', '/teams/561142')",L 63-85,"('7,900', None)",3975813
12/30/2023,"('@ Georgia', '/teams/560774')",L 57-76,"('2,406', None)",3976305
01/01/2024,"('North Greenville', '/teams/561406')",W 74-43,"('534', None)",3976554
01/11/2024,"('@ UNC Greensboro', '/teams/560930')",L 58-67,"('515', None)",3977951
01/13/2024,"('@ Western Caro.', '/teams/561211')",W 75-56,"('582', None)",3978361
01/20/2024,"('Furman', '/teams/560760')",W 69-51,"('1,049', None)",3979303
01/25/2024,"('Mercer', '/teams/560886')",W 65-64,"('414', None)",3979954
01/27/2024,"('Samford', '/teams/561068')",W 59-41,"('565', None)",3980079
02/01/2024,"('@ Chattanooga', '/teams/561140')",L 51-57,"('1,405', None)",3981018
02/03/2024,"('@ ETSU', '/teams/560730')",W 77-65,"('3,615', None)",3981308
02/08/2024,"('Western Caro.', '/teams/561211')",W 89-52,"('1,507', None)",3981902
02/10/2024,"('UNC Greensboro', '/teams/560930')",W 66-60,"('1,268', None)",3982113
02/15/2024,"('@ Furman', '/teams/560760')",L 51-64,"('667', None)",3982879
02/22/2024,"('@ Samford', '/teams/561068')",L 62-64,"('131', None)",3983657
02/24/2024,"('@ Mercer', '/teams/560886')",L 74-79,"('1,272', None)",3983805
02/29/2024,"('ETSU', '/teams/560730')",W 75-64,"('574', None)",3984303
03/02/2024,"('Chattanooga', '/teams/561140')",L 67-84,"('854', None)",3984492
03/07/2024,"('#6 Samford @Asheville, NC (23-24 WBB SoCon Tournament)', '/teams/561068')",W 66-45,"('3,029', None)",5249780
03/08/2024,"('#2 UNC Greensboro @Asheville, NC (23-24 WBB SoCon Tournament)', '/teams/560930')",L 62-72,"('2,893', None)",5249775
11/07/2023,"('@ Davidson', '/teams/560706')",L 51-86,"('264', None)",3970348
11/09/2023,"('@ East Carolina', '/teams/560728')",L 35-105,"('1,353', None)",3970512
11/11/2023,"('@ Kentucky', '/teams/560835')",L 54-82,"('1,465', None)",3970793
11/14/2023,"('Lees-McRae', '/teams/561430')",W 72-44,"('256', None)",3971391
11/17/2023,"('@ Queens (NC)', '/teams/561260')",L 51-61,"('86', None)",3971706
11/20/2023,"('South Carolina St.', '/teams/561085')",W 58-53,"('235', None)",3972342
11/24/2023,"('Detroit Mercy @Statesboro, GA (23-24 WBB GATA Turkey Throwdown)', '/teams/560719')",L 64-71,"('100', None)",3972709
11/25/2023,"('North Florida @Statesboro, GA (23-24 WBB GATA Turkey Throwdown)', '/teams/560548')",W 73-60,"('100', None)",3972835
11/30/2023,"('@ Samford', '/teams/561068')",L 52-57,"('471', None)",3973527
12/05/2023,"('@ Western Caro.', '/teams/561211')",W 73-64,"('1,291', None)",3974214
12/09/2023,"('Furman', '/teams/560760')",W 61-58,"('259', None)",3974626
12/18/2023,"('UNC Greensboro', '/teams/560930')",L 53-56,"('818', None)",3975594
12/20/2023,"('@ Georgia Tech', '/teams/560771')",L 50-81,"('1,244', None)",3975879
01/03/2024,"('UNC Asheville', '/teams/560925')",W 71-44,"('212', None)",3976776
01/06/2024,"('@ Winthrop', '/teams/561223')",W 52-51,"('145', None)",3977287
01/13/2024,"('Charleston So.', '/teams/560609')",W 59-58,"('287', None)",3978093
01/17/2024,"('@ Longwood', '/teams/560848')",L 58-66,"('907', None)",3978652
01/20/2024,"('Radford', '/teams/561037')",W 65-60,"('377', None)",3979378
01/24/2024,"('@ High Point', '/teams/560554')",W 59-49,"('862', None)",3979790
01/27/2024,"('@ Gardner-Webb', '/teams/561246')",W 78-59,"('509', None)",3980162
01/31/2024,"('Presbyterian', '/teams/561252')",W 62-58,"('215', None)",3980689
02/03/2024,"('@ Radford', '/teams/561037')",L 61-67 (1 OT),"('804', None)",3981355
02/07/2024,"('Longwood', '/teams/560848')",W 49-45,"('315', None)",3981691
02/10/2024,"('@ UNC Asheville', '/teams/560925')",W 71-65,"('276', None)",3982399
02/14/2024,"('High Point', '/teams/560554')",L 50-53,"('293', None)",3982691
02/17/2024,"('Gardner-Webb', '/teams/561246')",W 73-56,"('0', None)",3983097
02/21/2024,"('@ Charleston So.', '/teams/560609')",L 59-66,"('221', None)",3983556
02/24/2024,"('Winthrop', '/teams/561223')",L 61-67,"('285', None)",3983817
02/28/2024,"('@ Presbyterian', '/teams/561252')",L 43-47,"('406', None)",3984201
03/07/2024,"('#7 Longwood @High Point, NC (23-24 WBB Big South Tournament)', '/teams/560848')",W 60-37,"('1,023', None)",5249225
03/09/2024,"('#3 Radford @High Point, NC (23-24 WBB Big South Tournament)', '/teams/561037')",L 45-61,"('1,528', None)",5249222
03/21/2024,"('Col. of Charleston 23-24 WBB WNIT', '/teams/561242')",L 60-78,"('404', None)",5254439
11/06/2023,"('@ Missouri', '/teams/560907')",L 61-72,"('5,336', None)",3970226
11/10/2023,"('Georgia', '/teams/560774')",W 76-50,"('1,203', None)",3970554
11/15/2023,"('Wichita St.', '/teams/561219')",W 75-67,"('775', None)",3971438
11/19/2023,"('Mississippi St.', '/teams/560902')",L 62-63,"('1,307', None)",3972185
11/22/2023,"('Stanford @Henderson, NV (23-24 WBB Ball Dawgs Classic)', '/teams/561123')",L 55-74,"('1,634', None)",3972644
11/24/2023,"('Northwestern @Henderson, NV (23-24 WBB Ball Dawgs Classic)', '/teams/560987')",W 83-61,"('1,584', None)",3984867
11/29/2023,"('@ Troy', '/teams/561165')",W 72-68,"('1,473', None)",3973317
12/03/2023,"('Middle Tenn.', '/teams/560898')",W 71-57,"('1,365', None)",3974080
12/06/2023,"('Lipscomb', '/teams/560559')",W 70-51,"('1,881', None)",3974325
12/17/2023,"('@ Kennesaw St.', '/teams/561250')",W 65-54,"('459', None)",3975509
12/22/2023,"('@ Ohio St.', '/teams/560993')",L 55-84,"('6,336', None)",3954630
12/30/2023,"('UIC', '/teams/560807')",W 69-61,"('1,042', None)",3996391
01/04/2024,"('Illinois St.', '/teams/560803')",W 64-52,"('878', None)",4470134
01/06/2024,"('Bradley', '/teams/560625')",W 89-47,"('1,003', None)",3976986
01/12/2024,"('@ Evansville', '/teams/560743')",W 84-40,"('1,508', None)",4470136
01/14/2024,"('@ Indiana St.', '/teams/560809')",W 61-56,"('1,177', None)",3996096
01/19/2024,"('@ Drake', '/teams/560720')",L 65-69,"('2,134', None)",3996129
01/21/2024,"('@ UNI', '/teams/560982')",W 72-67,"('3,912', None)",3996078
01/26/2024,"('Missouri St.', '/teams/561116')",W 66-55,"('892', None)",3996441
01/28/2024,"('Southern Ill.', '/teams/561103')",W 72-64,"('892', None)",3996477
02/02/2024,"('Murray St.', '/teams/560923')",W 73-54,"('919', None)",4470151
02/09/2024,"('@ Missouri St.', '/teams/561116')",L 54-73,"('3,503', None)",3996103
02/11/2024,"('@ Southern Ill.', '/teams/561103')",W 65-55,"('325', None)",3996481
02/15/2024,"('UNI', '/teams/560982')",W 84-72,"('812', None)",3996084
02/17/2024,"('Drake', '/teams/560720')",L 71-77,"('1,191', None)",3996136
02/22/2024,"('@ Valparaiso', '/teams/561185')",W 83-56,"('270', None)",3996306
02/25/2024,"('@ Murray St.', '/teams/560923')",W 76-63,"('1,647', None)",3996318
03/01/2024,"('Indiana St.', '/teams/560809')",W 87-62,"('789', None)",3996115
03/03/2024,"('Evansville', '/teams/560743')",W 80-55,"('1,175', None)",4470139
03/07/2024,"('@ Bradley', '/teams/560625')",W 77-72,"('332', None)",3984584
03/09/2024,"('@ Illinois St.', '/teams/560803')",W 72-69,"('1,725', None)",4446591
03/15/2024,"('#7 UIC @Moline, IL (23-24 WBB MVC Tournament)', '/teams/560807')",W 70-65,"('1,004', None)",5250974
03/16/2024,"('#3 Missouri St. @Moline, IL (23-24 WBB MVC Tournament)', '/teams/561116')",L 48-63,"('1,747', None)",5250968
03/21/2024,"('@#4 Ball St. 23-24 WBB WBIT', '/teams/560607')",W 77-59,"('719', None)",5254264
03/25/2024,"('@#1 Penn St. 23-24 WBB WBIT', '/teams/561013')",L 66-74,"('1,666', None)",5254249
11/06/2023,"('@ Virginia Tech', '/teams/561196')",L 55-94,"('6,113', None)",3970244
11/11/2023,"('Lees-McRae', '/teams/561430')",W 99-47,"('1,360', None)",3970942
11/14/2023,"('Stetson', '/teams/561128')",W 59-54,"('1,360', None)",3971389
11/17/2023,"('Wofford', '/teams/560550')",W 80-64,"('937', None)",3971807
11/23/2023,"('South Fla. @St. Thomas, U.S. Virgin Islands (23-24 WBB Paradise Jam)', '/teams/561095')",L 32-61,"('1,224', None)",3972685
11/24/2023,"('Texas @St. Thomas, U.S. Virgin Islands (23-24 WBB Paradise Jam)', '/teams/561155')",L 39-101,"('1,824', None)",3972802
11/25/2023,"('Arizona St. @St. Thomas, Vir Isl (23-24 WBB Paradise Jam)', '/teams/560594')",L 69-77,"('2,424', None)",3973021
11/30/2023,"('Johnson C. Smith', '/teams/561716')",W 61-50,"('719', None)",3973599
12/05/2023,"('@ Colorado St.', '/teams/560688')",L 61-93,"('1,320', None)",3974267
12/08/2023,"('@ Davidson', '/teams/560706')",L 40-77,"('362', None)",3974600
12/18/2023,"('Norfolk St.', '/teams/560957')",L 71-85 (1 OT),"('755', None)",3975674
12/21/2023,"('Campbell', '/teams/560665')",W 48-47,"('1,128', None)",3976024
12/30/2023,"('Elon', '/teams/561244')",L 66-74,"('1,488', None)",3976455
01/03/2024,"('Radford', '/teams/561037')",L 61-65,"('978', None)",3976790
01/06/2024,"('@ Gardner-Webb', '/teams/561246')",W 74-64,"('215', None)",3977146
01/10/2024,"('@ UNC Asheville', '/teams/560925')",W 64-50,"('316', None)",3977756
01/17/2024,"('Presbyterian', '/teams/561252')",W 76-55,"('1,038', None)",3978782
01/20/2024,"('@ Charleston So.', '/teams/560609')",W 74-57,"('297', None)",3979372
01/24/2024,"('USC Upstate', '/teams/560551')",L 49-59,"('862', None)",3979790
01/27/2024,"('Winthrop', '/teams/561223')",W 75-68,"('1,505', None)",3980505
01/31/2024,"('@ Longwood', '/teams/560848')",W 64-53,"('1,113', None)",3980688
02/03/2024,"('@ Presbyterian', '/teams/561252')",W 64-59,"('352', None)",3981380
02/07/2024,"('UNC Asheville', '/teams/560925')",W 62-54,"('931', None)",3981817
02/10/2024,"('Gardner-Webb', '/teams/561246')",W 75-72,"('1,004', None)",3982544
02/14/2024,"('@ USC Upstate', '/teams/560551')",W 53-50,"('293', None)",3982691
02/17/2024,"('@ Radford', '/teams/561037')",W 67-50,"('769', None)",3983311
02/24/2024,"('Charleston So.', '/teams/560609')",W 63-46,"('1,384', None)",3983940
02/28/2024,"('@ Winthrop', '/teams/561223')",W 65-64 (1 OT),"('284', None)",3984191
03/02/2024,"('Longwood', '/teams/560848')",W 61-58,"('1,379', None)",3984363
03/07/2024,"('#9 UNC Asheville 23-24 WBB Big South Tournament', '/teams/560925')",W 70-57 (1 OT),"('1,529', None)",5249223
03/09/2024,"('#5 Presbyterian 23-24 WBB Big South Tournament', '/teams/561252')",L 50-59,"('1,528', None)",5249221
03/21/2024,"('@#4 Virginia 23-24 WBB WBIT', '/teams/561198')",L 59-81,"('1,883', None)",5254260
11/07/2023,"('St. Thomas (TX)', '/teams/562119')",W 79-41,"('1,179', None)",3970334
11/09/2023,"('@ Texas A&M', '/teams/561146')",L 50-73,"('3,057', None)",3970484
11/13/2023,"('Schreiner', '/teams/562057')",W 92-40,"('682', None)",3971252
11/15/2023,"('UTSA', '/teams/561159')",L 59-66 (1 OT),"('779', None)",3971592
11/21/2023,"('@ Santa Clara', '/teams/561076')",L 54-75,"('206', None)",3972511
11/26/2023,"('Texas St.', '/teams/561118')",W 60-52,"('781', None)",3973073
12/02/2023,"('Rice', '/teams/561041')",L 56-84,"('824', None)",3973807
12/05/2023,"('UTRGV', '/teams/561011')",W 69-46,"('1,363', None)",3974279
12/14/2023,"('@ UTRGV', '/teams/561011')",W 57-51,"('718', None)",3975213
12/19/2023,"('Our Lady of the Lake', None)",W 77-33,"('1,400', None)",3975704
12/30/2023,"('Concordia (TX)', '/teams/562526')",W 76-45,"('856', None)",3976309
01/03/2024,"('Houston Christian', '/teams/560793')",W 73-49,"('678', None)",3976806
01/06/2024,"('@ UIW', '/teams/560549')",W 63-61,"('136', None)",3977345
01/11/2024,"('@ Southeastern La.', '/teams/561099')",L 58-61,"('692', None)",3977939
01/13/2024,"('@ New Orleans', '/teams/560950')",W 61-54,"('492', None)",3978374
01/18/2024,"('McNeese', '/teams/560882')",W 83-63,"('818', None)",3978980
01/20/2024,"('Nicholls', '/teams/560954')",W 58-52,"('1,247', None)",3979083
01/25/2024,"('@ Tex. A&M-Commerce', '/teams/561268')",W 69-58,"('382', None)",3979871
01/27/2024,"('@ Northwestern St.', '/teams/560986')",W 50-45,"('412', None)",3980239
02/03/2024,"('Lamar University', '/teams/560841')",L 57-63,"('1,927', None)",3981207
02/08/2024,"('@ Nicholls', '/teams/560954')",L 67-70,"('458', None)",3981891
02/10/2024,"('@ McNeese', '/teams/560882')",W 78-64,"('1,104', None)",3982247
02/15/2024,"('Northwestern St.', '/teams/560986')",W 68-52,"('702', None)",3982979
02/17/2024,"('Tex. A&M-Commerce', '/teams/561268')",W 86-69,"('835', None)",3983183
02/22/2024,"('@ Houston Christian', '/teams/560793')",W 68-42,"('280', None)",3983727
02/24/2024,"('@ Lamar University', '/teams/560841')",L 63-68,"('1,862', None)",3984018
02/29/2024,"('New Orleans', '/teams/560950')",W 81-54,"('851', None)",3984310
03/02/2024,"('Southeastern La.', '/teams/561099')",W 79-73 (1 OT),"('1,352', None)",3984437
03/06/2024,"('UIW', '/teams/560549')",W 65-43,"('1,744', None)",3984637
03/13/2024,"('#3 Southeastern La. @Lake Charles, LA (23-24 WBB Southland Tournament)', '/teams/561099')",W 60-59,"('0', None)",5249951
03/14/2024,"('#1 Lamar University @Lake Charles, LA (23-24 WBB Southland Tournament)', '/teams/560841')",W 68-61,"('700', None)",5249948
03/23/2024,"('@#1 Southern California 23-24 WBB NCAA Division I Tournament', '/teams/561101')",L 55-87,"('8,386', None)",5254182
11/07/2023,"('@ Evansville', '/teams/560743')",W 77-58,"('592', None)",3970338
11/10/2023,"('Fairfield', '/teams/560745')",L 66-89,"('267', None)",3970570
11/14/2023,"('Morehead St.', '/teams/560916')",W 77-73,"('123', None)",3971352
11/17/2023,"('@ Tennessee St.', '/teams/561137')",W 74-43,"('336', None)",3971761
11/19/2023,"('@ Indiana', '/teams/560811')",L 44-77,"('8,572', None)",3954590
11/27/2023,"('@ Mississippi Val.', '/teams/560904')",W 64-55,"('1,265', None)",3973185
11/30/2023,"('@ ETSU', '/teams/560730')",W 68-45,"('473', None)",3973614
12/06/2023,"('@ Belmont', '/teams/560553')",L 51-70,"('1,881', None)",3974325
12/10/2023,"('Johnson (TN)', None)",W 85-49,"('279', None)",3974960
12/14/2023,"('Chattanooga', '/teams/561140')",L 62-72,"('533', None)",3975204
12/17/2023,"('@ Vanderbilt', '/teams/561187')",L 50-72,"('2,258', None)",3975520
12/21/2023,"('@ Kentucky', '/teams/560835')",L 80-87,"('3,424', None)",3975964
12/22/2023,"('Tenn. Wesleyan', None)",W 91-52,"('233', None)",3976032
01/04/2024,"('Eastern Ky.', '/teams/560737')",W 64-59,"('233', None)",3976934
01/06/2024,"('Bellarmine', '/teams/561171')",W 76-65,"('327', None)",3977295
01/11/2024,"('@ Central Ark.', '/teams/561240')",L 61-66 (1 OT),"('0', None)",3977867
01/13/2024,"('@ North Ala.', '/teams/560572')",W 85-67,"('1,392', None)",3978472
01/20/2024,"('@ Austin Peay', '/teams/560605')",W 61-51,"('3,736', None)",3979386
01/25/2024,"('FGCU', '/teams/560561')",L 54-75,"('521', None)",3979955
01/27/2024,"('Stetson', '/teams/561128')",L 55-67,"('307', None)",3980302
02/01/2024,"('@ Queens (NC)', '/teams/561260')",W 76-63,"('55', None)",3980933
02/03/2024,"('@ Kennesaw St.', '/teams/561250')",L 59-62,"('757', None)",3981433
02/07/2024,"('@ Jacksonville', '/teams/560825')",W 58-52,"('161', None)",3981807
02/10/2024,"('North Florida', '/teams/560548')",W 94-82 (2 OT),"('563', None)",3982304
02/17/2024,"('Austin Peay', '/teams/560605')",L 60-73,"('373', None)",3983301
02/22/2024,"('North Ala.', '/teams/560572')",W 67-53,"('300', None)",3983722
02/24/2024,"('Central Ark.', '/teams/561240')",W 65-59,"('276', None)",3983951
02/29/2024,"('@ Bellarmine', '/teams/561171')",L 74-80,"('263', None)",3984296
03/02/2024,"('@ Eastern Ky.', '/teams/560737')",W 71-68,"('811', None)",3984504
03/09/2024,"('#5 Eastern Ky. 23-24 WBB ASUN Tournament', '/teams/560737')",L 68-99,"('276', None)",5250014
11/06/2023,"('@ Brown', '/teams/560629')",W 80-58,"('648', None)",3970301
11/10/2023,"('@ Southern California', '/teams/561101')",L 51-67,"('4,712', None)",3970556
11/14/2023,"('FIU', '/teams/560753')",W 81-48,"('1,504', None)",3971422
11/19/2023,"('Kentucky', '/teams/560835')",W 59-48,"('1,863', None)",3972255
11/24/2023,"('Delaware @Estero, Fla. (23-24 WBB Gulf Coast Showcase)', '/teams/560715')",W 83-68,"('1,034', None)",3972778
11/25/2023,"('Iowa @Estero, FL (23-24 WBB Gulf Coast Showcase)', '/teams/560818')",L 62-100,"('4,257', None)",3995887
11/26/2023,"('North Carolina @Estero, FL (23-24 WBB Gulf Coast Showcase)', '/teams/560927')",W 65-64,"('2,120', None)",3995882
11/29/2023,"('Ave Maria', None)",W 108-31,"('1,349', None)",3973499
12/03/2023,"('@ Old Dominion', '/teams/561001')",L 42-55,"('1,759', None)",3974104
12/07/2023,"('Gardner-Webb', '/teams/561246')",W 102-53,"('1,251', None)",3974554
12/10/2023,"('@ Duke', '/teams/560724')",L 63-82,"('1,573', None)",3974943
12/20/2023,"('Drexel 23-24 WBB Homewood Suites Classic', '/teams/560722')",W 61-35,"('1,416', None)",3975932
12/21/2023,"('Southern Miss. 23-24 WBB Homewood Suites Classic', '/teams/561109')",W 78-62,"('1,319', None)",3976028
12/28/2023,"(""Webber Int'l"", None)",W 106-42,"('1,443', None)",3976085
01/04/2024,"('@ Jacksonville', '/teams/560825')",W 69-47,"('75', None)",3976957
01/06/2024,"('@ North Florida', '/teams/560548')",W 70-38,"('346', None)",3977271
01/13/2024,"('@ Stetson', '/teams/561128')",W 66-51,"('252', None)",3978237
01/18/2024,"('Queens (NC)', '/teams/561260')",W 82-57,"('1,708', None)",3978992
01/20/2024,"('Kennesaw St.', '/teams/561250')",W 93-65,"('1,734', None)",3979490
