Date,Opponent,Result,Attendance,GameID
11/24/2023,"('@ Denver 23-24 WBB Denver Classic', '/teams/560717')",W 90-84,"('352', None)",3972726
11/25/2023,"('Nevada @Denver, CO (23-24 WBB Denver Classic)', '/teams/560940')",L 65-67 (1 OT),"('612', None)",3972815
11/29/2023,"('@ Lindenwood', '/teams/561261')",W 77-64,"('423', None)",3973406
12/02/2023,"('@ Little Rock', '/teams/560601')",W 63-58,"('657', None)",3973842
12/05/2023,"('@ Tulsa', '/teams/561173')",L 58-60,"('2,822', None)",3974269
12/09/2023,"('Central Baptist', None)",W 69-32,"('380', None)",4472543
12/16/2023,"('@ Kansas', '/teams/560831')",L 48-69,"('2,861', None)",3975472
12/20/2023,"('Northwestern St.', '/teams/560986')",W 75-57,"('389', None)",3971968
12/29/2023,"('@ Alabama A&M', '/teams/560578')",W 65-59,"('1,103', None)",3976138
01/06/2024,"('@ North Ala.', '/teams/560572')",W 83-62,"('1,272', None)",3977460
01/11/2024,"('Lipscomb', '/teams/560559')",W 66-61 (1 OT),"('0', None)",3977867
01/13/2024,"('Austin Peay', '/teams/560605')",W 56-55,"('853', None)",3978104
01/18/2024,"('@ Eastern Ky.', '/teams/560737')",L 58-65,"('524', None)",3978978
01/20/2024,"('@ Bellarmine', '/teams/561171')",W 73-59,"('483', None)",3979227
01/24/2024,"('Queens (NC)', '/teams/561260')",W 76-57,"('478', None)",3979672
01/27/2024,"('@ Kennesaw St.', '/teams/561250')",W 67-60,"('794', None)",3980107
02/01/2024,"('Jacksonville', '/teams/560825')",W 71-58,"('427', None)",3980906
02/03/2024,"('North Florida', '/teams/560548')",W 58-44,"('722', None)",3981290
02/08/2024,"('@ FGCU', '/teams/560561')",L 43-65,"('1,602', None)",3982024
02/10/2024,"('@ Stetson', '/teams/561128')",L 56-57,"('265', None)",3982284
02/15/2024,"('Bellarmine', '/teams/561171')",W 63-57,"('412', None)",3982893
02/17/2024,"('Eastern Ky.', '/teams/560737')",W 83-49,"('434', None)",3983255
02/22/2024,"('@ Austin Peay', '/teams/560605')",L 42-54,"('2,162', None)",3983653
02/24/2024,"('@ Lipscomb', '/teams/560559')",L 59-65,"('276', None)",3983951
03/02/2024,"('North Ala.', '/teams/560572')",W 89-63,"('495', None)",3984470
03/09/2024,"('#6 North Ala. 23-24 WBB ASUN Tournament', '/teams/560572')",W 69-52,"('1,110', None)",5250016
03/12/2024,"('#5 Eastern Ky. 23-24 WBB ASUN Tournament', '/teams/560737')",W 68-57,"('1,845', None)",5250012
03/16/2024,"('@#1 FGCU 23-24 WBB ASUN Tournament', '/teams/560561')",L 47-76,"('2,259', None)",5250010
03/21/2024,"('Saint Louis 23-24 WBB WNIT', '/teams/561062')",L 61-66,"('625', None)",5254416
11/06/2023,"('Pfeiffer', '/teams/562126')",W 117-30,"('3,267', None)",3970214
11/10/2023,"('@ UNLV', '/teams/560938')",L 60-85,"('777', None)",3970721
