,Quarter,text,team,gameID,Date,Player,WL
3,1,"Liisa Taponen, jumpball won",Akron,3980179,01/27/2024,Liisa Taponen,jumpball won
4,1,"Brooke Stonebraker, jumpball lost",NIU,3980179,01/27/2024,Brooke Stonebraker,jumpball lost
3,1,"Quinesha Lockett, jumpball won",Toledo,3980677,01/31/2024,Quinesha Lockett,jumpball won
4,1,"Liisa Taponen, jumpball lost",Akron,3980677,01/31/2024,Liisa Taponen,jumpball lost
3,1,"Jadyn Scott, jumpball won",Miami (OH),3981114,02/03/2024,Jadyn Scott,jumpball won
4,1,"Liisa Taponen, jumpball lost",Akron,3981114,02/03/2024,Liisa Taponen,jumpball lost
3,1,"Tayra Eke, jumpball won",Eastern Mich.,3981673,02/07/2024,Tayra Eke,jumpball won
4,1,"Reagan Bass, jumpball lost",Akron,3981673,02/07/2024,Reagan Bass,jumpball lost
501,5,"Lanae Riley, jumpball won",Akron,3981673,02/07/2024,Lanae Riley,jumpball won
502,5,"Tayra Eke, jumpball lost",Eastern Mich.,3981673,02/07/2024,Tayra Eke,jumpball lost
3,1,"Kendra Gillispie, jumpball won",Arkansas St.,4546531,02/10/2024,Kendra Gillispie,jumpball won
4,1,"Reagan Bass, jumpball lost",Akron,4546531,02/10/2024,Reagan Bass,jumpball lost
3,1,"Reagan Bass, jumpball lost",Akron,3983081,02/17/2024,Reagan Bass,jumpball lost
4,1,"Hattie Ogden, jumpball won",Buffalo,3983081,02/17/2024,Hattie Ogden,jumpball won
3,1,"Reagan Bass, jumpball lost",Akron,3983551,02/21/2024,Reagan Bass,jumpball lost
4,1,"Erika Porter, jumpball won",Bowling Green,3983551,02/21/2024,Erika Porter,jumpball won
3,1,"Jenna Batsch, jumpball won",Kent St.,3983891,02/24/2024,Jenna Batsch,jumpball won
4,1,"Reagan Bass, jumpball lost",Akron,3983891,02/24/2024,Reagan Bass,jumpball lost
3,1,"Marie Kiefer, jumpball won",Ball St.,3984143,02/28/2024,Marie Kiefer,jumpball won
4,1,"Reagan Bass, jumpball lost",Akron,3984143,02/28/2024,Reagan Bass,jumpball lost
3,1,"Brooke Stonebraker, jumpball won",NIU,3984370,03/02/2024,Brooke Stonebraker,jumpball won
4,1,"Reagan Bass, jumpball lost",Akron,3984370,03/02/2024,Reagan Bass,jumpball lost
3,1,"Reagan Bass, jumpball lost",Akron,3984629,03/06/2024,Reagan Bass,jumpball lost
4,1,"Kennedi Watkins, jumpball won",Ohio,3984629,03/06/2024,Kennedi Watkins,jumpball won
3,1,"Rochelle Norris, jumpball won",Central Mich.,3984690,03/09/2024,Rochelle Norris,jumpball won
4,1,"Reagan Bass, jumpball lost",Akron,3984690,03/09/2024,Reagan Bass,jumpball lost
3,1,"LaCambria Shakespeare, jumpball won",Alabama A&M,3970232,11/06/2023,LaCambria Shakespeare,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3970232,11/06/2023,Maddie Walsh,jumpball lost
3,1,"Jayla Cody, jumpball lost",Alabama A&M,3970525,11/09/2023,Jayla Cody,jumpball lost
4,1,"Cali Clark, jumpball won",Colorado St.,3970525,11/09/2023,Cali Clark,jumpball won
3,1,"Yaubryon Chambers, jumpball won",Tennessee Tech,3972030,11/18/2023,Yaubryon Chambers,jumpball won
4,1,"Jayla Cody, jumpball lost",Alabama A&M,3972030,11/18/2023,Jayla Cody,jumpball lost
542,5,"Anna Walker, jumpball lost",Tennessee Tech,3972030,11/18/2023,Anna Walker,jumpball lost
543,5,"Alisha Wilson, jumpball won",Alabama A&M,3972030,11/18/2023,Alisha Wilson,jumpball won
3,1,"Elyse Hughes, jumpball won",Alabama Huntsville,3972348,11/21/2023,Elyse Hughes,jumpball won
4,1,"Jayla Cody, jumpball lost",Alabama A&M,3972348,11/21/2023,Jayla Cody,jumpball lost
3,1,"Savannah Scott, jumpball won",Auburn,3973093,11/26/2023,Savannah Scott,jumpball won
4,1,"Jayla Cody, jumpball lost",Alabama A&M,3973093,11/26/2023,Jayla Cody,jumpball lost
3,1,"Jayla Cody, jumpball won",Alabama A&M,3974997,12/10/2023,Jayla Cody,jumpball won
4,1,"Jhaven Meade, jumpball lost",South Carolina St.,3974997,12/10/2023,Jhaven Meade,jumpball lost
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3975589,12/18/2023,Alisha Wilson,jumpball won
4,1,"Josie Hill, jumpball lost",Chicago St.,3975589,12/18/2023,Josie Hill,jumpball lost
3,1,"Alisha Wilson, jumpball lost",Alabama A&M,3975692,12/19/2023,Alisha Wilson,jumpball lost
4,1,"Courtney Prenger, jumpball won",FIU,3975692,12/19/2023,Courtney Prenger,jumpball won
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3975873,12/20/2023,Alisha Wilson,jumpball won
4,1,"Tiffany Tullis, jumpball lost",Texas St.,3975873,12/20/2023,Tiffany Tullis,jumpball lost
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3976138,12/29/2023,Alisha Wilson,jumpball won
4,1,"Cheyenne Banks, jumpball lost",Central Ark.,3976138,12/29/2023,Cheyenne Banks,jumpball lost
3,1,"Maya Peat, jumpball won",Ark.-Pine Bluff,3995861,01/06/2024,Maya Peat,jumpball won
4,1,"Alisha Wilson, jumpball lost",Alabama A&M,3995861,01/06/2024,Alisha Wilson,jumpball lost
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3977542,01/08/2024,Alisha Wilson,jumpball won
4,1,"Lizzie Walker, jumpball lost",Mississippi Val.,3977542,01/08/2024,Lizzie Walker,jumpball lost
3,1,"Alisha Wilson, jumpball lost",Alabama A&M,3978090,01/11/2024,Alisha Wilson,jumpball lost
4,1,"Nakia Cheatham, jumpball won",Alcorn,3978090,01/11/2024,Nakia Cheatham,jumpball won
3,1,"Alisha Wilson, jumpball lost",Alabama A&M,3978549,01/13/2024,Alisha Wilson,jumpball lost
4,1,"Angel Jackson, jumpball won",Jackson St.,3978549,01/13/2024,Angel Jackson,jumpball won
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3979563,01/15/2024,Alisha Wilson,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3979563,01/15/2024,Cordasia Harris,jumpball lost
3,1,"Jaida Belton, jumpball won",Texas Southern,3980447,01/27/2024,Jaida Belton,jumpball won
4,1,"Jayla Cody, jumpball lost",Alabama A&M,3980447,01/27/2024,Jayla Cody,jumpball lost
3,1,"Adreanna Waddle, jumpball won",Prairie View,3980582,01/29/2024,Adreanna Waddle,jumpball won
4,1,"Alisha Wilson, jumpball lost",Alabama A&M,3980582,01/29/2024,Alisha Wilson,jumpball lost
3,1,"LaCambria Shakespeare, jumpball won",Alabama A&M,3981133,02/03/2024,LaCambria Shakespeare,jumpball won
4,1,"Hailee Brennen, jumpball lost",Florida A&M,3981133,02/03/2024,Hailee Brennen,jumpball lost
1,1,"Chanelle McDonald, jumpball lost",Bethune-Cookman,3981608,02/05/2024,Chanelle McDonald,jumpball lost
4,1,"Alisha Wilson, jumpball won",Alabama A&M,3981608,02/05/2024,Alisha Wilson,jumpball won
507,5,"Alisha Wilson, jumpball won",Alabama A&M,3981608,02/05/2024,Alisha Wilson,jumpball won
508,5,"Chanelle McDonald, jumpball lost",Bethune-Cookman,3981608,02/05/2024,Chanelle McDonald,jumpball lost
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3982465,02/10/2024,Alisha Wilson,jumpball won
4,1,"Sky Castro, jumpball lost",Southern U.,3982465,02/10/2024,Sky Castro,jumpball lost
3,1,"Alisha Wilson, jumpball won",Alabama A&M,3982597,02/12/2024,Alisha Wilson,jumpball won
4,1,"Anijah Grant, jumpball lost",Grambling,3982597,02/12/2024,Anijah Grant,jumpball lost
8,1,"Aaliyah Duranham, jumpball won",Mississippi Val.,3983120,02/17/2024,Aaliyah Duranham,jumpball won
9,1,"Alisha Wilson, jumpball lost",Alabama A&M,3983120,02/17/2024,Alisha Wilson,jumpball lost
3,1,"Alisha Wilson, jumpball lost",Alabama A&M,3995860,02/19/2024,Alisha Wilson,jumpball lost
4,1,"Maya Peat, jumpball won",Ark.-Pine Bluff,3995860,02/19/2024,Maya Peat,jumpball won
3,1,"Chanelle McDonald, jumpball won",Bethune-Cookman,3983956,02/24/2024,Chanelle McDonald,jumpball won
4,1,"Alisha Wilson, jumpball lost",Alabama A&M,3983956,02/24/2024,Alisha Wilson,jumpball lost
3,1,"Anabel Latorre Ciria, jumpball lost",Florida A&M,3984095,02/26/2024,Anabel Latorre Ciria,jumpball lost
4,1,"Alisha Wilson, jumpball won",Alabama A&M,3984095,02/26/2024,Alisha Wilson,jumpball won
3,1,"Anaja Hall, jumpball lost",Alabama St.,3984605,03/02/2024,Anaja Hall,jumpball lost
4,1,"Alisha Wilson, jumpball won",Alabama A&M,3984605,03/02/2024,Alisha Wilson,jumpball won
3,1,"Anijah Grant, jumpball won",Grambling,3984657,03/07/2024,Anijah Grant,jumpball won
4,1,"Alisha Wilson, jumpball lost",Alabama A&M,3984657,03/07/2024,Alisha Wilson,jumpball lost
3,1,"Alisha Wilson, jumpball lost",Alabama A&M,3984723,03/09/2024,Alisha Wilson,jumpball lost
4,1,"Raven White, jumpball won",Southern U.,3984723,03/09/2024,Raven White,jumpball won
3,1,"Alisha Wilson, jumpball won",Alabama A&M,5250882,03/14/2024,Alisha Wilson,jumpball won
4,1,"Maya Peat, jumpball lost",Ark.-Pine Bluff,5250882,03/14/2024,Maya Peat,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3970187,11/06/2023,Essence Cody,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3970187,11/06/2023,Cordasia Harris,jumpball lost
3,1,"Cordasia Harris, jumpball lost",Alabama St.,3970487,11/09/2023,Cordasia Harris,jumpball lost
4,1,"Shelbee Brown, jumpball won",Memphis,3970487,11/09/2023,Shelbee Brown,jumpball won
3,1,"Amirah Abdur-Rahim, jumpball won",SMU,3970805,11/11/2023,Amirah Abdur-Rahim,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3970805,11/11/2023,Cordasia Harris,jumpball lost
3,1,"Sahara Williams, jumpball lost",Oklahoma,3971442,11/15/2023,Sahara Williams,jumpball lost
4,1,"Shmya Ward, jumpball won",Alabama St.,3971442,11/15/2023,Shmya Ward,jumpball won
3,1,"Emily Bowman, jumpball won",Samford,3971857,11/18/2023,Emily Bowman,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3971857,11/18/2023,Cordasia Harris,jumpball lost
3,1,"Sacha Washington, jumpball won",Vanderbilt,3972296,11/20/2023,Sacha Washington,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3972296,11/20/2023,Cordasia Harris,jumpball lost
3,1,"Bre'Anna Rhodes, jumpball won",Jacksonville St.,3973523,11/30/2023,Bre'Anna Rhodes,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3973523,11/30/2023,Cordasia Harris,jumpball lost
3,1,"Taylen Collins, jumpball won",Auburn,3975159,12/13/2023,Taylen Collins,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3975159,12/13/2023,Cordasia Harris,jumpball lost
3,1,"Jorie Allen, jumpball won",DePaul,3975495,12/17/2023,Jorie Allen,jumpball won
4,1,"Anaja Hall, jumpball lost",Alabama St.,3975495,12/17/2023,Anaja Hall,jumpball lost
3,1,"Cordasia Harris, jumpball lost",Alabama St.,3975914,12/20/2023,Cordasia Harris,jumpball lost
4,1,"Makayla Timpson, jumpball won",Florida St.,3975914,12/20/2023,Makayla Timpson,jumpball won
3,1,"Kyla Oldacre, jumpball lost",Miami (FL),3976056,12/28/2023,Kyla Oldacre,jumpball lost
4,1,"Anaja Hall, jumpball won",Alabama St.,3976056,12/28/2023,Anaja Hall,jumpball won
3,1,"Anaja Hall, jumpball won",Alabama St.,3977443,01/06/2024,Anaja Hall,jumpball won
4,1,"Lizzie Walker, jumpball lost",Mississippi Val.,3977443,01/06/2024,Lizzie Walker,jumpball lost
3,1,"Maya Peat, jumpball lost",Ark.-Pine Bluff,3977084,01/08/2024,Maya Peat,jumpball lost
4,1,"Anaja Hall, jumpball won",Alabama St.,3977084,01/08/2024,Anaja Hall,jumpball won
3,1,"Angel Jackson, jumpball won",Jackson St.,3978330,01/11/2024,Angel Jackson,jumpball won
4,1,"Anaja Hall, jumpball lost",Alabama St.,3978330,01/11/2024,Anaja Hall,jumpball lost
3,1,"Destiny Brown, jumpball won",Alcorn,3978568,01/13/2024,Destiny Brown,jumpball won
4,1,"Cordasia Harris, jumpball lost",Alabama St.,3978568,01/13/2024,Cordasia Harris,jumpball lost
3,1,"Adreanna Waddle, jumpball won",Prairie View,3980099,01/27/2024,Adreanna Waddle,jumpball won
4,1,"Donyeil Bolton, jumpball lost",Alabama St.,3980099,01/27/2024,Donyeil Bolton,jumpball lost
3,1,"Jaida Belton, jumpball won",Texas Southern,3980588,01/29/2024,Jaida Belton,jumpball won
4,1,"Donyeil Bolton, jumpball lost",Alabama St.,3980588,01/29/2024,Donyeil Bolton,jumpball lost
3,1,"Chanelle McDonald, jumpball lost",Bethune-Cookman,3981367,02/03/2024,Chanelle McDonald,jumpball lost
4,1,"Donyeil Bolton, jumpball won",Alabama St.,3981367,02/03/2024,Donyeil Bolton,jumpball won
3,1,"Hailee Brennen, jumpball lost",Florida A&M,3981588,02/05/2024,Hailee Brennen,jumpball lost
4,1,"Donyeil Bolton, jumpball won",Alabama St.,3981588,02/05/2024,Donyeil Bolton,jumpball won
0,1,"Anijah Grant, jumpball lost",Grambling,3982137,02/10/2024,Anijah Grant,jumpball lost
3,1,"Donyeil Bolton, jumpball won",Alabama St.,3982137,02/10/2024,Donyeil Bolton,jumpball won
3,1,"Sky Castro, jumpball won",Southern U.,3982596,02/12/2024,Sky Castro,jumpball won
4,1,"Donyeil Bolton, jumpball lost",Alabama St.,3982596,02/12/2024,Donyeil Bolton,jumpball lost
3,1,"Maya Peat, jumpball won",Ark.-Pine Bluff,3983333,02/17/2024,Maya Peat,jumpball won
4,1,"Anaja Hall, jumpball lost",Alabama St.,3983333,02/17/2024,Anaja Hall,jumpball lost
3,1,"Lizzie Walker, jumpball won",Mississippi Val.,3983520,02/19/2024,Lizzie Walker,jumpball won
4,1,"Anaja Hall, jumpball lost",Alabama St.,3983520,02/19/2024,Anaja Hall,jumpball lost
3,1,"Anaja Hall, jumpball won",Alabama St.,3983830,02/24/2024,Anaja Hall,jumpball won
4,1,"Anabel Latorre Ciria, jumpball lost",Florida A&M,3983830,02/24/2024,Anabel Latorre Ciria,jumpball lost
3,1,"Chanelle McDonald, jumpball won",Bethune-Cookman,3984086,02/26/2024,Chanelle McDonald,jumpball won
5,1,"Anaja Hall, jumpball lost",Alabama St.,3984086,02/26/2024,Anaja Hall,jumpball lost
3,1,"Anaja Hall, jumpball won",Alabama St.,3984658,03/07/2024,Anaja Hall,jumpball won
4,1,"Raven White, jumpball lost",Southern U.,3984658,03/07/2024,Raven White,jumpball lost
3,1,"Anijah Grant, jumpball won",Grambling,3984659,03/09/2024,Anijah Grant,jumpball won
4,1,"Anaja Hall, jumpball lost",Alabama St.,3984659,03/09/2024,Anaja Hall,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3970545,11/10/2023,Essence Cody,jumpball won
4,1,"Marissa Gasaway, jumpball lost",Winthrop,3970545,11/10/2023,Marissa Gasaway,jumpball lost
3,1,"Jayden Rhodes, jumpball lost",Morehead St.,3971190,11/12/2023,Jayden Rhodes,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3971190,11/12/2023,Essence Cody,jumpball won
3,1,"Daniela Gonzalez, jumpball lost",South Fla.,3971647,11/16/2023,Daniela Gonzalez,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3971647,11/16/2023,Essence Cody,jumpball won
3,1,"Essence Cody, jumpball won",Alabama,3972218,11/19/2023,Essence Cody,jumpball won
4,1,"Trinity Hudson, jumpball lost",Little Rock,3972218,11/19/2023,Trinity Hudson,jumpball lost
3,1,"Olivia Cochran, jumpball won",Louisville,3972716,11/24/2023,Olivia Cochran,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3972716,11/24/2023,Essence Cody,jumpball lost
3,1,"Yvonne Ejim, jumpball won",Gonzaga,3972825,11/25/2023,Yvonne Ejim,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3972825,11/25/2023,Essence Cody,jumpball lost
3,1,"Essence Cody, jumpball lost",Alabama,3973050,11/26/2023,Essence Cody,jumpball lost
4,1,"Bella Smuda, jumpball won",Liberty,3973050,11/26/2023,Bella Smuda,jumpball won
3,1,"Alyssa Latham, jumpball lost",Syracuse,3973602,11/30/2023,Alyssa Latham,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3973602,11/30/2023,Essence Cody,jumpball won
3,1,"Essence Cody, jumpball won",Alabama,3974307,12/06/2023,Essence Cody,jumpball won
4,1,"Zaria Hurston, jumpball lost",Coastal Carolina,3974307,12/06/2023,Zaria Hurston,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3974786,12/09/2023,Essence Cody,jumpball won
4,1,"Kurstyn Harden, jumpball lost",SFA,3974786,12/09/2023,Kurstyn Harden,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3974972,12/10/2023,Essence Cody,jumpball won
4,1,"Emily Bowman, jumpball lost",Samford,3974972,12/10/2023,Emily Bowman,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3975511,12/17/2023,Essence Cody,jumpball won
4,1,"Jakayla Johnson, jumpball lost",ULM,3975511,12/17/2023,Jakayla Johnson,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3975908,12/20/2023,Essence Cody,jumpball won
4,1,"Jada Duckett, jumpball lost",Jacksonville,3975908,12/20/2023,Jada Duckett,jumpball lost
3,1,"Lizzie Walker, jumpball won",Mississippi Val.,3976522,12/31/2023,Lizzie Walker,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3976522,12/31/2023,Essence Cody,jumpball lost
3,1,"Rita Igbokwe, jumpball won",Ole Miss,3976841,01/04/2024,Rita Igbokwe,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3976841,01/04/2024,Essence Cody,jumpball lost
3,1,"Hannah Linthacum, jumpball lost",Missouri,3977524,01/07/2024,Hannah Linthacum,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3977524,01/07/2024,Essence Cody,jumpball won
3,1,"Javyn Nicholson, jumpball lost",Georgia,3977958,01/11/2024,Javyn Nicholson,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3977958,01/11/2024,Essence Cody,jumpball won
3,1,"Maryam Dauda, jumpball lost",Arkansas,3978528,01/14/2024,Maryam Dauda,jumpball lost
4,1,"Jessica Timmons, jumpball won",Alabama,3978528,01/14/2024,Jessica Timmons,jumpball won
3,1,"Angel Reese, jumpball won",LSU,3978994,01/18/2024,Angel Reese,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3978994,01/18/2024,Essence Cody,jumpball lost
3,1,"Essence Cody, jumpball lost",Alabama,3979541,01/21/2024,Essence Cody,jumpball lost
4,1,"Savannah Scott, jumpball won",Auburn,3979541,01/21/2024,Savannah Scott,jumpball won
3,1,"Ajae Petty, jumpball lost",Kentucky,3980559,01/28/2024,Ajae Petty,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3980559,01/28/2024,Essence Cody,jumpball won
3,1,"Maryam Dauda, jumpball won",Arkansas,3981027,02/01/2024,Maryam Dauda,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3981027,02/01/2024,Essence Cody,jumpball lost
3,1,"Sacha Washington, jumpball won",Vanderbilt,3981606,02/05/2024,Sacha Washington,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3981606,02/05/2024,Essence Cody,jumpball lost
3,1,"Tamari Key, jumpball won",Tennessee,3981971,02/08/2024,Tamari Key,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3981971,02/08/2024,Essence Cody,jumpball lost
3,1,"Essence Cody, jumpball lost",Alabama,3982592,02/11/2024,Essence Cody,jumpball lost
4,1,"Angel Reese, jumpball won",LSU,3982592,02/11/2024,Angel Reese,jumpball won
3,1,"Savannah Scott, jumpball lost",Auburn,3983473,02/18/2024,Savannah Scott,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3983473,02/18/2024,Essence Cody,jumpball won
2,1,"Ashlyn Watkins, jumpball won",South Carolina,3983760,02/22/2024,Ashlyn Watkins,jumpball won
3,1,"Essence Cody, jumpball lost",Alabama,3983760,02/22/2024,Essence Cody,jumpball lost
3,1,"Jessika Carter, jumpball won",Mississippi St.,3984081,02/25/2024,Jessika Carter,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,3984081,02/25/2024,Essence Cody,jumpball lost
3,1,"Essence Cody, jumpball won",Alabama,3984214,02/29/2024,Essence Cody,jumpball won
4,1,"Faith Dut, jumpball lost",Florida,3984214,02/29/2024,Faith Dut,jumpball lost
3,1,"Sahara Jones, jumpball lost",Texas A&M,3984589,03/03/2024,Sahara Jones,jumpball lost
4,1,"Essence Cody, jumpball won",Alabama,3984589,03/03/2024,Essence Cody,jumpball won
3,1,"Tamari Key, jumpball won",Tennessee,5249590,03/08/2024,Tamari Key,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,5249590,03/08/2024,Essence Cody,jumpball lost
3,1,"Makayla Timpson, jumpball won",Florida St.,5254167,03/22/2024,Makayla Timpson,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,5254167,03/22/2024,Essence Cody,jumpball lost
3,1,"Taylor Jones, jumpball won",Texas,5254200,03/24/2024,Taylor Jones,jumpball won
4,1,"Essence Cody, jumpball lost",Alabama,5254200,03/24/2024,Essence Cody,jumpball lost
3,1,"Maddie Walsh, jumpball lost",UAB,3971268,11/13/2023,Maddie Walsh,jumpball lost
4,1,"Lonasia Brewer, jumpball won",Western Caro.,3971268,11/13/2023,Lonasia Brewer,jumpball won
3,1,"Sierra McCullough, jumpball won",Eastern Ky.,3972176,11/18/2023,Sierra McCullough,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3972176,11/18/2023,Maddie Walsh,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3984852,11/19/2023,Maddie Walsh,jumpball won
4,1,"Kate Robertson, jumpball lost",Alas. Anchorage,3984852,11/19/2023,Kate Robertson,jumpball lost
3,1,"Leah Earnest, jumpball won",Valparaiso,3972854,11/25/2023,Leah Earnest,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3972854,11/25/2023,Maddie Walsh,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3973186,11/27/2023,Maddie Walsh,jumpball won
4,1,"Bre'Anna Rhodes, jumpball lost",Jacksonville St.,3973186,11/27/2023,Bre'Anna Rhodes,jumpball lost
487,5,"Team, jumpball lost",Jacksonville St.,3973186,11/27/2023,Team,jumpball lost
488,5,"Team, jumpball won",UAB,3973186,11/27/2023,Team,jumpball won
3,1,"Maddie Walsh, jumpball lost",UAB,3973417,11/29/2023,Maddie Walsh,jumpball lost
4,1,"Amberly Brown, jumpball won",Mississippi Val.,3973417,11/29/2023,Amberly Brown,jumpball won
3,1,"Taylen Collins, jumpball won",Auburn,3974139,12/03/2023,Taylen Collins,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3974139,12/03/2023,Maddie Walsh,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3974620,12/09/2023,Maddie Walsh,jumpball won
4,1,"Lexi Alexander, jumpball lost",Nicholls,3974620,12/09/2023,Lexi Alexander,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3975058,12/12/2023,Maddie Walsh,jumpball won
4,1,"Rakyha Reid, jumpball lost",South Carolina St.,3975058,12/12/2023,Rakyha Reid,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3975860,12/20/2023,Maddie Walsh,jumpball won
4,1,"Kiera Edmonds, jumpball lost",Wagner,3975860,12/20/2023,Kiera Edmonds,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3996242,12/21/2023,Maddie Walsh,jumpball won
4,1,"Laura Ziegler, jumpball lost",Saint Joseph's,3996242,12/21/2023,Laura Ziegler,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3976234,12/30/2023,Maddie Walsh,jumpball won
4,1,"Dyllan Hanna, jumpball lost",Fla. Atlantic,3976234,12/30/2023,Dyllan Hanna,jumpball lost
3,1,"Aliyah Green, jumpball won",Memphis,3976636,01/03/2024,Aliyah Green,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3976636,01/03/2024,Maddie Walsh,jumpball lost
3,1,"Keanna Rembert, jumpball won",Charlotte,3977486,01/07/2024,Keanna Rembert,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3977486,01/07/2024,Maddie Walsh,jumpball lost
3,1,"Amiya Joyner, jumpball won",East Carolina,3977733,01/10/2024,Amiya Joyner,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3977733,01/10/2024,Maddie Walsh,jumpball lost
3,1,"Amirah Abdur-Rahim, jumpball won",SMU,3978497,01/14/2024,Amirah Abdur-Rahim,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3978497,01/14/2024,Maddie Walsh,jumpball lost
3,1,"Elyssa Coleman, jumpball won",UTSA,3979523,01/21/2024,Elyssa Coleman,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3979523,01/21/2024,Maddie Walsh,jumpball lost
3,1,"Daniela Abies, jumpball won",Wichita St.,3979867,01/25/2024,Daniela Abies,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3979867,01/25/2024,Maddie Walsh,jumpball lost
500,5,"Daniela Abies, jumpball lost",Wichita St.,3979867,01/25/2024,Daniela Abies,jumpball lost
501,5,"Maddie Walsh, jumpball won",UAB,3979867,01/25/2024,Maddie Walsh,jumpball won
3,1,"Tommisha Lampkin, jumpball won",North Texas,3980555,01/28/2024,Tommisha Lampkin,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3980555,01/28/2024,Maddie Walsh,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3980686,01/31/2024,Maddie Walsh,jumpball won
4,1,"Dyllan Hanna, jumpball lost",Fla. Atlantic,3980686,01/31/2024,Dyllan Hanna,jumpball lost
3,1,"Evelien Lutje Schipholt, jumpball won",South Fla.,3981123,02/03/2024,Evelien Lutje Schipholt,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3981123,02/03/2024,Maddie Walsh,jumpball lost
3,1,"Irina Parau, jumpball lost",Tulane,3981789,02/07/2024,Irina Parau,jumpball lost
4,1,"Maddie Walsh, jumpball won",UAB,3981789,02/07/2024,Maddie Walsh,jumpball won
3,1,"Idara Udo, jumpball won",UTSA,3982559,02/11/2024,Idara Udo,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3982559,02/11/2024,Maddie Walsh,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3982690,02/14/2024,Maddie Walsh,jumpball won
4,1,"Rayne Tucker, jumpball lost",Temple,3982690,02/14/2024,Rayne Tucker,jumpball lost
3,1,"Malia Fisher, jumpball won",Rice,3983094,02/17/2024,Malia Fisher,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3983094,02/17/2024,Maddie Walsh,jumpball lost
3,1,"Temira Poindexter, jumpball won",Tulsa,3983562,02/21/2024,Temira Poindexter,jumpball won
4,1,"Maddie Walsh, jumpball lost",UAB,3983562,02/21/2024,Maddie Walsh,jumpball lost
3,1,"Maddie Walsh, jumpball won",UAB,3983814,02/24/2024,Maddie Walsh,jumpball won
4,1,"Tommisha Lampkin, jumpball lost",North Texas,3983814,02/24/2024,Tommisha Lampkin,jumpball lost
