,Quarter,text,team,gameID,Date,Player,WL
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3982408,02/10/2024,Ifunanya Nwachukwu,jumpball won
4,1,"Kiera Pemberton, jumpball lost",North Dakota,3982408,02/10/2024,Kiera Pemberton,jumpball lost
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3982989,02/15/2024,Ifunanya Nwachukwu,jumpball won
4,1,"Brooklyn Meyer, jumpball lost",South Dakota St.,3982989,02/15/2024,Brooklyn Meyer,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3983764,02/22/2024,Kelby Bannerman,jumpball won
4,1,"Carley Duffney, jumpball lost",South Dakota,3983764,02/22/2024,Carley Duffney,jumpball lost
3,1,"Deanay Watson, jumpball won",Omaha,3984014,02/24/2024,Deanay Watson,jumpball won
4,1,"Tamia Ugass, jumpball lost",Kansas City,3984014,02/24/2024,Tamia Ugass,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3984320,02/29/2024,Makayla Minett,jumpball won
4,1,"Tamia Ugass, jumpball lost",Kansas City,3984320,02/29/2024,Tamia Ugass,jumpball lost
3,1,"Ruthie Udoumoh, jumpball won",Oral Roberts,3984522,03/02/2024,Ruthie Udoumoh,jumpball won
4,1,"Jocelyn Ewell, jumpball lost",Kansas City,3984522,03/02/2024,Jocelyn Ewell,jumpball lost
3,1,"Deanay Watson, jumpball lost",Omaha,5250276,03/08/2024,Deanay Watson,jumpball lost
4,1,"Jocelyn Ewell, jumpball won",Kansas City,5250276,03/08/2024,Jocelyn Ewell,jumpball won
3,1,"Faith Dut, jumpball won",Florida,3970197,11/06/2023,Faith Dut,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3970197,11/06/2023,Emma Broermann,jumpball lost
3,1,"Emma Broermann, jumpball lost",North Florida,3970494,11/09/2023,Emma Broermann,jumpball lost
4,1,"Madlyn Touze, jumpball won",Trinity Baptist,3970494,11/09/2023,Madlyn Touze,jumpball won
3,1,"Evie Van Der Woude, jumpball won",Fla. Atlantic,3971277,11/13/2023,Evie Van Der Woude,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3971277,11/13/2023,Emma Broermann,jumpball lost
506,5,"Emma Broermann, jumpball won",North Florida,3971277,11/13/2023,Emma Broermann,jumpball won
507,5,"Janeta Rozentale, jumpball lost",Fla. Atlantic,3971277,11/13/2023,Janeta Rozentale,jumpball lost
3,1,"Yvonne Ejim, jumpball won",Gonzaga,3971431,11/15/2023,Yvonne Ejim,jumpball won
4,1,"Emma Broermann, jumpball lost",North Florida,3971431,11/15/2023,Emma Broermann,jumpball lost
3,1,"Emma Broermann, jumpball lost",North Florida,3972256,11/19/2023,Emma Broermann,jumpball lost
