#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
23.0,Maya Robinson,G,9:21,,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,591683,591825,5735259
6.0,Asta Blauenfeldt,G,34:47,,1,6,0,3,3,4,5,1,3,4,6,7,1,0,3,0,0,591992,591784,5734330
13.0,Caroline Bornemann,F,36:08,,5,10,0,1,2,3,12,0,14,14,4,1,0,0,3,0,0,591992,591784,5734330
4.0,Jaycie Christopher,G,6:19,,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,591992,591784,5734330
25.0,Caroline Dotsey,F,9:18,,1,3,0,1,0,0,2,0,1,1,1,0,0,0,2,0,0,591992,591784,5734330
15.0,Paula Gallego,G,34:54,,8,10,4,6,1,2,21,4,6,10,3,5,1,0,3,0,0,591992,591784,5734330
0.0,Sera Hodgson,G,13:37,,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,591992,591784,5734330
1.0,Olivia Rockwood,G,21:26,,0,6,0,6,2,2,2,0,3,3,4,0,0,0,3,0,0,591992,591784,5734330
45.0,Idan Shlush,G,5:42,,2,3,1,2,0,0,5,0,0,0,1,1,0,0,0,0,0,591992,591784,5734330
2.0,Emmie Streams,G,2:42,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,591992,591784,5734330
12.0,Sarah Talon,G,35:07,,6,13,5,6,1,4,18,1,1,2,2,2,1,1,3,0,0,591992,591784,5734330
30.0,Jolene Armendariz,G,25:26,,2,6,0,3,2,4,6,2,7,9,1,2,0,0,1,0,0,591784,591992,5734330
21.0,Ty'Renisha Bowers,G,13:47,,0,2,0,2,0,0,0,0,1,1,2,2,0,1,1,0,0,591784,591992,5734330
15.0,Ashleigh Connor,G,33:27,,3,13,1,3,1,2,8,1,3,4,2,4,4,0,4,0,1,591784,591992,5734330
25.0,Mackenzie Daleba,F,16:32,,2,7,0,1,0,0,4,2,3,5,3,2,0,0,2,0,0,591784,591992,5734330
0.0,Aryss Macktoon,G,30:22,,3,13,0,0,0,0,6,0,4,4,2,3,5,0,5,1,0,591784,591992,5734330
12.0,Ayisse Magassa,G,28:23,,4,7,0,0,5,6,13,0,3,3,2,0,3,0,0,0,0,591784,591992,5734330
20.0,Anna Przyszlak,F,21:30,,1,2,0,1,0,0,2,0,1,1,0,0,0,0,4,0,0,591784,591992,5734330
13.0,Joan Quinn,G,29:09,,5,10,1,3,1,2,12,2,1,3,2,0,2,0,3,0,0,591784,591992,5734330
8.0,Diora Ressaissi,G,1:24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591784,591992,5734330
7.0,Louann Battiston,G,6:39,,1,3,0,2,1,2,3,0,0,0,0,0,1,0,1,0,0,591735,591874,5723719
4.0,Jadyn Donovan,G,21:18,,4,9,0,0,2,2,10,3,6,9,2,0,2,2,2,0,0,591735,591874,5723719
35.0,Toby Fournier,F,10:11,,5,9,0,0,0,1,10,2,1,3,1,2,2,1,5,1,0,591735,591874,5723719
3.0,Ashlon Jackson,G,21:00,,2,9,0,4,1,2,5,0,2,2,2,1,0,0,2,0,0,591735,591874,5723719
15.0,Emma Koabel,G,21:03,,2,4,1,3,3,4,8,4,4,8,1,0,2,1,2,0,0,591735,591874,5723719
22.0,Taina Mair,G,22:22,,1,5,1,4,0,0,3,1,3,4,3,0,1,0,0,0,0,591735,591874,5723719
53.0,Olivia Martin,G,1:20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,591735,591874,5723719
5.0,Oluchi Okananwa,G,16:17,,2,7,1,1,5,7,10,4,2,6,0,1,5,0,3,0,0,591735,591874,5723719
24.0,Reigan Richardson,G,20:43,,4,9,1,4,2,2,11,1,1,2,1,1,1,0,2,0,0,591735,591874,5723719
12.0,Delaney Thomas,F,19:58,,4,8,0,0,4,6,12,1,2,3,0,3,3,0,1,0,0,591735,591874,5723719
13.0,Jordan Wood,F,23:14,,4,6,0,2,5,7,13,2,6,8,0,1,2,2,3,0,0,591735,591874,5723719
