#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
1.0,Zyanna Walker,G,22:08,,2,8,0,3,1,1,5,1,5,6,7,0,1,0,0,0,0,591781,592008,5722801
22.0,Bailey Butler,G,23:51,,1,2,0,1,0,0,2,0,0,0,3,2,0,0,0,0,0,592008,591781,5722801
24.0,Ellie Buzzelle,G,3:51,,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,592008,591781,5722801
12.0,Callie Genke,G,18:40,,3,6,2,3,0,0,8,0,2,2,0,1,0,0,3,0,0,592008,591781,5722801
30.0,Jenna Guyer,F,8:44,,3,7,1,3,0,0,7,0,1,1,2,0,0,0,5,1,0,592008,591781,5722801
21.0,Jasmine Kondrakiewicz,F,16:13,,1,4,0,0,0,1,2,0,0,0,0,2,1,0,4,0,0,592008,591781,5722801
11.0,Natalie McNeal,G,21:41,,6,11,0,1,2,2,14,1,6,7,0,1,1,0,4,0,0,592008,591781,5722801
3.0,Miah Meyer,G,21:39,,0,4,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,592008,591781,5722801
1.0,Cassie Schiltz,G,22:29,,2,9,1,4,0,0,5,0,5,5,1,0,0,0,0,0,0,592008,591781,5722801
34.0,Maddy Schreiber,F,31:31,,3,10,0,2,1,4,7,1,4,5,0,0,1,0,1,0,0,592008,591781,5722801
55.0,Meghan Schultz,C,15:03,,0,5,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,592008,591781,5722801
4.0,Maren Westin,G,16:18,,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,592008,591781,5722801
34.0,Clarice Akunwafo,C,3:16,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,592005,591815,5730794
9.0,Kayleigh Heckel,G,12:31,,1,2,0,1,0,0,2,0,2,2,1,3,0,0,1,0,0,592005,591815,5730794
23.0,Avery Howell,G,11:05,,1,2,0,1,1,1,3,0,1,1,0,0,0,0,0,0,0,592005,591815,5730794
44.0,Kiki Iriafen,F,32:12,,7,15,0,0,8,11,22,8,5,13,0,4,1,0,2,0,0,592005,591815,5730794
13.0,Rayah Marshall,F,34:19,,0,1,0,0,0,0,0,1,5,6,2,2,3,1,1,0,0,592005,591815,5730794
10.0,Malia Samuels,G,6:48,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,592005,591815,5730794
11.0,Kennedy Smith,G,37:08,,5,11,0,2,2,3,12,2,5,7,2,2,0,1,2,0,0,592005,591815,5730794
12.0,JuJu Watkins,G,40:00,,8,19,1,4,10,12,27,1,9,10,4,9,3,5,3,0,1,592005,591815,5730794
55.0,Talia von Oelhoffen,G,22:41,,0,5,0,3,2,2,2,0,2,2,3,2,2,1,4,0,0,592005,591815,5730794
35.0,Rhema Collins,F,0:53,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591815,592005,5730794
1.0,Kirsten Deans,G,32:49,,5,15,4,12,5,5,19,1,2,3,3,4,1,1,5,1,0,591815,592005,5730794
12.0,Christeen Iwuala,F,20:34,,2,5,0,0,1,2,5,4,5,9,0,1,3,1,2,0,0,591815,592005,5730794
7.0,Starr Jacobs,F,19:26,,3,5,0,0,1,2,7,2,3,5,0,2,2,0,4,0,0,591815,592005,5730794
13.0,Mariyah Noel,G,0:23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591815,592005,5730794
33.0,Kharyssa Richardson,F,5:17,,0,3,0,1,0,0,0,0,0,0,0,3,0,1,2,0,0,591815,592005,5730794
2.0,Tameiya Sadler,G,16:43,,2,2,1,1,2,2,7,0,0,0,3,1,2,0,4,0,0,591815,592005,5730794
24.0,Madison Scott,F,37:49,,6,16,2,3,0,2,14,1,3,4,5,1,2,0,3,0,0,591815,592005,5730794
0.0,Sira Thienou,G,18:45,,2,8,0,0,2,2,6,4,0,4,1,1,2,0,2,0,0,591815,592005,5730794
20.0,Ayanna Thompson,G,11:03,,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,591815,592005,5730794
3.0,Kennedy Todd-Williams,G,36:18,,2,18,0,5,4,6,8,3,6,9,2,2,2,0,4,0,0,591815,592005,5730794
1.0,Tilly Boler,G,35:17,,4,17,1,7,2,2,11,2,2,4,0,0,1,1,1,0,0,591806,591814,5737130
22.0,Layken Cox,F,7:46,,0,1,0,0,0,0,0,0,2,2,1,1,1,0,3,0,0,591806,591814,5737130
3.0,Elauna Eaton,G,26:50,,5,8,4,6,0,0,14,0,4,4,3,2,0,0,1,0,0,591806,591814,5737130
34.0,Quinzia Fulmore,F,21:39,,4,9,0,0,3,3,11,7,2,9,0,6,1,0,3,0,0,591806,591814,5737130
10.0,Bailey Gilmore,F,10:04,,1,1,0,0,1,4,3,2,1,3,0,0,1,0,0,0,0,591806,591814,5737130
7.0,Hannah Riddick,F,30:18,,6,11,0,0,14,20,26,9,8,17,0,2,0,0,1,0,0,591806,591814,5737130
23.0,Raven Sims,G,10:52,,2,4,0,0,2,4,6,3,1,4,1,1,0,1,2,0,0,591806,591814,5737130
24.0,Tamya Smith,F,2:53,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,591806,591814,5737130
30.0,Alasia Smith,F,17:18,,1,4,0,2,5,6,7,0,1,1,1,3,2,0,2,0,0,591806,591814,5737130
11.0,Tanyuel Welch,G,32:36,,5,14,1,3,0,0,11,1,6,7,5,6,4,0,2,0,0,591806,591814,5737130
21.0,Latazia Williamson,F,4:27,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,591806,591814,5737130
30.0,Keanna Coburn,C,3:08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,591814,591806,5737130
20.0,Ja'la Douglas,F,8:35,,0,0,0,0,0,0,0,0,1,1,1,1,0,1,5,1,0,591814,591806,5737130
22.0,Aaliyah Duranham,F,17:01,,3,5,0,0,0,0,6,4,3,7,0,3,1,1,4,0,0,591814,591806,5737130
25.0,Serenity Echols,G,13:00,,0,2,0,1,1,2,1,2,1,3,0,0,0,0,1,0,0,591814,591806,5737130
3.0,Shakira Gresham,G,5:26,,0,0,0,0,1,2,1,0,1,1,2,0,0,0,1,0,0,591814,591806,5737130
4.0,Kerra Jones,G,19:04,,7,12,1,3,0,0,15,2,0,2,0,3,0,0,5,1,0,591814,591806,5737130
11.0,Janiya Jones,G,22:10,,2,4,2,3,0,0,6,1,0,1,3,2,1,0,0,0,0,591814,591806,5737130
0.0,D'Yanna Maxey,G,18:41,,3,8,1,2,0,0,7,1,1,2,1,4,2,0,3,0,0,591814,591806,5737130
1.0,Sh'Diamond McKnight,G,28:04,,7,19,2,7,6,8,22,2,6,8,8,3,9,0,2,0,0,591814,591806,5737130
5.0,Jaeda Murphy,G,2:57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591814,591806,5737130
21.0,Mikaela Parris,F,18:29,,2,3,1,2,0,0,5,0,0,0,0,0,0,0,5,1,0,591814,591806,5737130
15.0,Clemisha Prackett,F,15:43,,3,5,0,0,0,0,6,1,1,2,0,2,0,2,4,0,0,591814,591806,5737130
2.0,Jaylia Reed,G,27:42,,2,18,2,10,3,6,9,3,2,5,2,3,0,0,0,0,0,591814,591806,5737130
18.0,Isla Airey,F,19:12,,2,3,0,0,0,0,4,3,3,6,1,3,0,2,2,0,0,591792,591838,5730588
23.0,Paris Bradley,G,28:32,,2,7,1,3,0,0,5,0,3,3,3,3,0,1,5,1,0,591792,591838,5730588
3.0,Robyn Lee,G,25:50,,3,10,0,0,0,0,6,1,3,4,3,2,2,0,2,0,0,591792,591838,5730588
15.0,Jordan Marshall,F,34:33,,4,9,0,2,4,8,12,4,5,9,0,6,1,1,2,0,0,591792,591838,5730588
22.0,Jianna Morris,G,37:32,,4,8,3,7,8,12,19,0,3,3,1,5,0,1,1,0,0,591792,591838,5730588
10.0,Melissa Mwanza,F,19:39,,2,4,0,0,0,0,4,2,9,11,1,3,0,0,2,0,0,591792,591838,5730588
21.0,Taylor Rietveld,F,4:45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591792,591838,5730588
1.0,Autumn Smith,G,4:41,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,591792,591838,5730588
30.0,Sydney Thomas,G,25:16,,1,5,1,4,0,0,3,1,1,2,1,1,1,0,2,0,0,591792,591838,5730588
22.0,Deonna Brister,F,28:50,,5,6,0,0,2,2,12,2,6,8,0,1,2,0,3,0,0,591838,591792,5730588
13.0,Asia Broughton,F,1:47,,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,591838,591792,5730588
30.0,Emani Burks,F,26:44,,3,6,0,2,0,0,6,1,1,2,1,2,0,2,3,0,0,591838,591792,5730588
23.0,Daelyn Craig,F,16:22,,1,2,0,0,0,0,2,0,2,2,1,0,0,0,3,0,0,591838,591792,5730588
11.0,Britiya Curtis,G,22:04,,1,7,1,5,0,2,3,0,2,2,2,3,1,0,2,0,0,591838,591792,5730588
7.0,Betzalys Delgado,G,5:42,,0,2,0,1,0,0,0,1,0,1,0,1,2,0,2,0,0,591838,591792,5730588
20.0,Elli Garnett,F,23:34,,0,8,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,591838,591792,5730588
1.0,Jesslynn Jalomo,G,15:46,,3,5,2,3,0,0,8,0,1,1,0,1,2,0,2,0,0,591838,591792,5730588
5.0,Malaya Jones,G,17:27,,1,5,1,3,0,0,3,0,0,0,3,1,0,0,2,0,0,591838,591792,5730588
2.0,Paris Miller,G,6:15,,1,3,0,1,0,0,2,0,2,2,0,2,0,0,0,0,0,591838,591792,5730588
3.0,Tanita Swift,G,35:29,,6,14,0,1,3,6,15,1,2,3,4,6,6,0,3,0,0,591838,591792,5730588
15.0,Alyssa Blanck,F,3:09,,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,591938,591906,5734732
44.0,Sam Crispe,F,15:10,,2,4,0,1,0,0,4,1,3,4,1,2,0,0,3,0,0,591938,591906,5734732
22.0,Jenna Johnson,F,16:11,,8,9,0,1,0,0,16,1,0,1,4,0,0,0,2,0,0,591938,591906,5734732
5.0,Gianna Kneepkens,G,23:11,,6,9,4,6,2,2,18,1,3,4,4,0,2,1,1,0,0,591938,591906,5734732
24.0,Kennady McQueen,G,19:43,,5,7,2,3,1,1,13,0,2,2,2,0,0,1,1,0,0,591938,591906,5734732
6.0,Kylie Ray,G,15:05,,2,2,2,2,0,0,6,0,0,0,3,2,0,0,2,0,0,591938,591906,5734732
20.0,Reese Ross,F,20:01,,6,6,1,1,2,3,15,2,5,7,0,2,1,0,3,0,0,591938,591906,5734732
25.0,Nene Sow,C,4:00,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,591938,591906,5734732
21.0,Mayé Touré,F,20:18,,4,8,1,3,5,8,14,1,2,3,1,1,2,1,0,0,0,591938,591906,5734732
2.0,Ines Vieira,G,24:55,,2,6,0,3,2,2,6,0,3,3,7,1,3,0,1,0,0,591938,591906,5734732
3.0,Brooke Walker,G,20:17,,1,5,1,2,0,0,3,2,3,5,2,0,0,0,2,0,0,591938,591906,5734732
23.0,Maty Wilke,G,18:00,,4,7,2,5,0,0,10,0,0,0,2,1,0,0,2,0,0,591938,591906,5734732
32.0,Denver Anderson,F,3:58,,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,591906,591938,5734732
22.0,Daylani Ballena,G,26:12,,4,10,0,1,0,2,8,0,1,1,1,3,2,0,1,0,0,591906,591938,5734732
13.0,Ashley Banks,C,17:06,,0,1,0,0,0,0,0,1,0,1,0,3,0,0,2,0,0,591906,591938,5734732
24.0,Jaeden Brown,F,13:47,,0,1,0,1,0,0,0,0,2,2,0,2,1,1,2,0,0,591906,591938,5734732
23.0,Lexi Bull,F,13:19,,0,1,0,0,0,0,0,0,2,2,0,2,0,0,3,0,0,591906,591938,5734732
3.0,Sierra Chambers,G,21:29,,4,8,0,1,7,7,15,0,1,1,1,1,0,0,0,0,0,591906,591938,5734732
1.0,Kortney Doman,G,4:08,,1,2,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,591906,591938,5734732
14.0,Sydney Gandy,G,31:09,,2,9,2,7,0,0,6,0,0,0,2,3,0,0,3,0,0,591906,591938,5734732
34.0,Samantha Johnston,G,28:45,,3,8,2,7,0,0,8,2,1,3,4,3,1,0,1,0,0,591906,591938,5734732
5.0,Charli Kay,G,8:27,,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,591906,591938,5734732
35.0,Olivia Malafu,F,6:48,,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,591906,591938,5734732
44.0,Ava Uhrich,F,24:52,,4,7,1,2,0,0,9,0,5,5,1,2,0,0,2,0,0,591906,591938,5734732
33.0,Vianè Cumber,G,32:13,,4,10,2,4,4,5,14,0,8,8,0,0,1,0,2,0,0,591835,591847,5730744
4.0,Alyssa Hargrove,G,31:54,,5,12,2,4,0,0,12,2,4,6,4,3,2,0,1,0,0,591835,591847,5730744
3.0,Destinee Hooks,G,23:35,,8,12,2,4,3,6,21,2,4,6,2,3,1,0,4,0,0,591835,591847,5730744
14.0,Hulda Joaquim,F,22:19,,1,4,0,0,2,2,4,3,4,7,0,0,1,1,0,0,0,591835,591847,5730744
15.0,Drew Jordon,G,4:32,,2,2,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,591835,591847,5730744
5.0,Lara Langermann,G,16:38,,2,6,1,3,2,2,7,0,2,2,2,4,1,0,3,0,0,591835,591847,5730744
10.0,Paris Lauro,F,13:30,,0,2,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,591835,591847,5730744
13.0,Joana Magalhães,G,18:05,,3,6,0,0,0,0,6,0,2,2,2,6,1,0,4,0,0,591835,591847,5730744
24.0,Amhyia Moreland,F,13:09,,2,6,0,0,1,1,5,4,3,7,0,1,0,1,3,0,0,591835,591847,5730744
11.0,Nayli Padilla,G,8:52,,0,0,0,0,0,0,0,0,3,3,2,0,0,1,1,0,0,591835,591847,5730744
21.0,Reza Po,G,15:13,,2,5,1,2,0,0,5,0,1,1,2,0,1,1,1,0,0,591835,591847,5730744
15.0,Leia Beattie,G,37:27,,6,10,4,8,0,1,16,1,6,7,7,4,1,0,2,0,0,591847,591835,5730744
1.0,Allie Cummins,F,13:29,,3,5,1,2,0,0,7,0,1,1,1,1,1,0,1,0,0,591847,591835,5730744
5.0,Taylor Feldman,G,35:40,,4,10,1,3,6,8,15,1,3,4,5,3,0,0,1,0,0,591847,591835,5730744
12.0,Sophie Glancey,F,29:56,,7,15,1,3,2,3,17,2,6,8,0,2,0,2,2,0,0,591847,591835,5730744
23.0,Talo Li-Uperesa,F,1:45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591847,591835,5730744
2.0,Nyah Moran,F,31:25,,3,14,2,9,1,3,9,0,2,2,3,3,1,0,5,1,0,591847,591835,5730744
22.0,Olivia Moran,F,18:59,,2,9,1,4,0,0,5,3,1,4,2,1,1,0,5,1,0,591847,591835,5730744
33.0,Saniyah Neverson,F,27:38,,4,7,1,4,2,3,11,2,3,5,2,0,1,2,1,0,0,591847,591835,5730744
13.0,Ava Schmidt,F,3:40,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,591847,591835,5730744
11.0,Portia Adams,G,29:34,,4,10,1,2,6,8,15,0,1,1,2,3,2,0,2,0,0,591925,591663,5729807
12.0,Irene Asensio,G,11:11,,0,1,0,1,0,0,0,0,1,1,0,3,0,0,1,0,0,591925,591663,5729807
13.0,Ndack Mbengue,F,11:40,,0,2,0,0,0,0,0,0,4,4,0,3,1,0,1,0,0,591925,591663,5729807
22.0,Mary Moses Amaniyo,F,27:44,,2,3,0,0,2,4,6,1,4,5,0,2,0,1,0,0,0,591925,591663,5729807
2.0,Heaven Samayoa-Mathis,G,18:26,,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,591925,591663,5729807
3.0,Ivane Tensaie,G,36:31,,5,10,3,7,1,2,14,0,1,1,1,1,1,0,2,0,0,591925,591663,5729807
23.0,Luisa Vydrova,F,21:54,,2,5,0,0,0,0,4,2,3,5,1,3,0,0,2,0,0,591925,591663,5729807
8.0,Dunja Zecevic,F,18:42,,4,7,1,1,2,2,11,0,1,1,1,1,1,0,3,0,0,591925,591663,5729807
5.0,Delma Zita,G,24:18,,1,3,0,0,0,0,2,0,3,3,3,2,0,0,3,0,0,591925,591663,5729807
55.0,Faith Acker,C,12:55,,2,5,0,1,0,0,4,0,2,2,0,1,0,1,1,0,0,591663,591925,5729807
6.0,Andjela Bigovic,F,20:41,,2,6,2,5,0,0,6,1,5,6,1,0,3,1,3,0,0,591663,591925,5729807
23.0,Alani Fluker,F,28:00,,8,9,0,0,2,4,18,4,2,6,0,2,0,0,1,0,0,591663,591925,5729807
22.0,Tyler Jackson,G,6:29,,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,591663,591925,5729807
10.0,Miannah Little,G,27:22,,1,7,0,2,2,3,4,1,1,2,0,4,3,0,3,0,0,591663,591925,5729807
11.0,Jakoriah Long,G,31:24,,1,6,0,1,4,6,6,3,1,4,4,2,0,0,1,0,0,591663,591925,5729807
5.0,Arieona Rosborough,G,17:40,,1,5,0,1,0,0,2,0,1,1,3,5,0,0,2,0,0,591663,591925,5729807
15.0,Karyn Sanford,G,5:00,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,591663,591925,5729807
24.0,Elise Turrubiates,F,18:19,,1,1,1,1,0,0,3,0,4,4,2,2,0,0,3,0,0,591663,591925,5729807
3.0,Niki Van Wyk,G,31:55,,2,6,2,5,0,0,6,0,3,3,2,5,2,0,3,0,0,591663,591925,5729807
4.0,Claudia Acin,G,0:59,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,591788,591939,5722029
21.0,Elisabeth Aegisdottir,F,29:19,,2,3,0,0,1,2,5,3,9,12,5,1,1,1,2,0,0,591788,591939,5722029
22.0,Anna Badosa,G,8:27,,1,2,0,0,0,0,2,0,0,0,2,2,1,0,1,0,0,591788,591939,5722029
12.0,Asia Boone,G,31:05,,3,6,3,5,0,0,9,0,0,0,1,1,2,0,2,0,0,591788,591939,5722029
23.0,Emma Hess,G,32:08,,7,11,6,7,0,0,20,1,5,6,5,1,0,1,3,0,0,591788,591939,5722029
0.0,Jordan Hodges,G,30:34,,6,11,3,5,3,3,18,0,1,1,8,3,0,0,3,0,0,591788,591939,5722029
14.0,Emily Howard,C,13:18,,2,3,0,0,2,2,6,2,0,2,1,2,0,1,2,0,0,591788,591939,5722029
1.0,Avery Mills,G,8:55,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,591788,591939,5722029
10.0,Brooke Moore,G,7:52,,1,2,1,2,0,2,3,0,2,2,0,0,0,0,1,0,0,591788,591939,5722029
31.0,Bella Smuda,C,25:36,,6,13,0,0,0,0,12,3,3,6,0,3,1,1,3,0,0,591788,591939,5722029
18.0,Emma Soldis,G,1:06,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,591788,591939,5722029
7.0,Pien Steenbergen,G,10:41,,1,2,0,0,0,0,2,1,0,1,0,3,0,2,2,0,0,591788,591939,5722029
20.0,Katie Beyer,F,25:08,,4,9,3,6,3,4,14,0,2,2,0,1,2,0,1,0,0,591939,591788,5722029
3.0,Lexi Castator,F,7:12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,591939,591788,5722029
4.0,Fiona Connolly,G,28:24,,0,2,0,1,2,4,2,1,1,2,3,4,3,0,2,0,0,591939,591788,5722029
22.0,Leah Earnest,G,31:55,,2,6,1,3,10,12,15,1,5,6,4,2,2,0,3,0,0,591939,591788,5722029
21.0,Layla Gold,G,28:53,,3,8,2,6,3,4,11,0,1,1,1,2,0,0,2,0,0,591939,591788,5722029
11.0,Nevaeh Jackson,F,32:09,,4,8,0,4,1,2,9,1,3,4,2,1,2,2,1,0,0,591939,591788,5722029
24.0,Kayla Preston,F,1:06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591939,591788,5722029
5.0,Raeven Raye-Redmond,G,6:08,,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,591939,591788,5722029
2.0,Maci Rhoades,G,27:22,,0,6,0,3,2,2,2,0,3,3,0,2,0,0,3,0,0,591939,591788,5722029
9.0,Mor Shabtai,G,6:28,,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,591939,591788,5722029
33.0,Kylie Waytashek,F,5:16,,1,2,1,2,0,0,3,0,1,1,0,0,0,0,0,0,0,591939,591788,5722029
44.0,Petra Bozan,F,12:30,,5,7,2,2,0,0,12,2,2,4,0,1,0,1,3,0,0,591829,591830,5736016
32.0,Kendall Coley,F,7:55,,1,1,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,591829,591830,5736016
14.0,Callin Hake,G,22:22,,1,7,0,3,2,2,4,0,0,0,4,3,3,0,0,0,0,591829,591830,5736016
33.0,Amiah Hargrove,F,15:13,,0,3,0,0,0,0,0,2,0,2,0,1,0,0,3,0,0,591829,591830,5736016
40.0,Alexis Markowski,C,21:04,,7,8,0,0,0,0,14,3,8,11,2,3,0,1,2,0,0,591829,591830,5736016
15.0,Kendall Moriarty,G,12:03,,0,4,0,3,1,4,1,0,1,1,1,3,2,1,2,0,0,591829,591830,5736016
2.0,Logan Nissley,G,11:04,,3,3,1,1,5,5,12,1,1,2,3,1,2,1,0,0,0,591829,591830,5736016
12.0,Jessica Petrie,F,10:20,,1,2,0,0,0,2,2,0,4,4,0,4,1,1,0,0,0,591829,591830,5736016
22.0,Natalie Potts,F,20:53,,6,8,1,2,1,1,14,0,6,6,1,1,1,1,2,0,0,591829,591830,5736016
23.0,Britt Prince,G,23:00,,4,6,0,1,2,2,10,0,1,1,5,1,2,0,1,0,0,591829,591830,5736016
5.0,Alberte Rimdal,G,19:08,,2,3,0,1,1,1,5,0,2,2,1,0,1,0,2,0,0,591829,591830,5736016
3.0,Allison Weidner,G,24:28,,4,7,0,1,3,3,11,1,2,3,1,2,2,0,2,0,0,591829,591830,5736016
20.0,Grace Cave,G,26:55,,5,12,1,4,0,0,11,1,2,3,0,4,0,0,2,0,0,591830,591829,5736016
0.0,Harriet Ford,C,16:00,,2,5,0,0,0,0,4,2,3,5,1,2,0,0,2,0,0,591830,591829,5736016
24.0,Morgann Gardner,F,19:13,,1,7,1,4,0,0,3,2,1,3,0,2,1,0,4,0,0,591830,591829,5736016
15.0,Paige Horne,F,14:09,,1,1,0,0,1,2,3,0,1,1,1,0,0,0,1,0,0,591830,591829,5736016
14.0,Katie Keitges,G,13:41,,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,591830,591829,5736016
1.0,Aaliyah Moore,F,11:29,,0,4,0,1,1,4,1,0,0,0,1,2,2,0,4,0,0,591830,591829,5736016
22.0,Cora Olsen,F,21:20,,1,5,1,2,0,0,3,2,2,4,1,2,1,0,3,0,0,591830,591829,5736016
2.0,Lauren Perry,G,13:44,,1,5,0,0,1,2,3,0,2,2,1,1,0,0,1,0,0,591830,591829,5736016
13.0,Alana Powell,G,23:15,,6,9,0,0,3,6,15,1,0,1,0,2,2,0,2,0,0,591830,591829,5736016
4.0,Daria Shelby,G,7:35,,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,591830,591829,5736016
11.0,Ali Stephens,F,22:13,,2,6,1,4,0,0,5,0,2,2,0,2,1,0,2,0,0,591830,591829,5736016
10.0,Mar Vidal,G,10:26,,0,1,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,591830,591829,5736016
7.0,Elina Aarnisalo,G,29:10,,4,8,0,1,0,0,8,0,2,2,4,6,1,0,1,0,0,591708,591793,5731495
0.0,Janiah Barker,F,18:56,,3,11,0,3,2,3,8,2,5,7,0,2,0,1,2,0,0,591708,591793,5731495
51.0,Lauren Betts,C,36:04,,9,12,0,0,0,1,18,5,8,13,5,6,1,4,3,0,0,591708,591793,5731495
2.0,Avary Cain,G,0:13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591708,591793,5731495
22.0,Kendall Dudley,F,7:50,,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,591708,591793,5731495
32.0,Angela Dugalić,F,15:21,,0,1,0,1,0,0,0,0,3,3,2,2,1,1,0,0,0,591708,591793,5731495
30.0,Timea Gardiner,F,25:59,,5,9,5,7,0,0,15,1,6,7,1,3,0,0,1,0,0,591708,591793,5731495
11.0,Gabriela Jaquez,F,33:27,,2,8,0,3,0,0,4,3,5,8,4,2,1,0,3,0,0,591708,591793,5731495
3.0,Londynn Jones,G,33:01,,3,13,3,8,4,4,13,0,0,0,4,1,0,1,1,0,0,591708,591793,5731495
0.0,Izela Arenas,G,9:56,,1,6,1,4,0,0,3,1,0,1,1,0,0,0,0,0,0,591793,591708,5731495
21.0,Reagan Bender,G,0:13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591793,591708,5731495
1.0,Imari Berry,G,16:27,,1,7,0,4,0,0,2,1,2,3,0,2,0,1,2,0,0,591793,591708,5731495
44.0,Olivia Cochran,F,23:18,,3,6,1,2,1,2,8,2,2,4,0,2,0,0,5,1,0,591793,591708,5731495
2.0,Nyla Harris,F,21:17,,3,9,0,0,0,0,6,2,2,4,1,2,3,0,1,0,0,591793,591708,5731495
11.0,Elif Istanbulluoglu,F,15:52,,1,2,0,1,0,0,2,2,4,6,0,0,1,0,0,0,0,591793,591708,5731495
15.0,Isla Juffermans,F,13:54,,1,7,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,591793,591708,5731495
4.0,Mackenly Randolph,F,17:52,,1,6,0,4,0,0,2,1,2,3,3,1,1,0,2,0,0,591793,591708,5731495
22.0,Tajianna Roberts,G,35:58,,8,19,4,10,1,2,21,2,1,3,1,0,1,1,1,0,0,591793,591708,5731495
13.0,Merissah Russell,G,18:27,,1,4,0,3,0,0,2,1,3,4,0,0,2,1,1,0,0,591793,591708,5731495
12.0,Ja'Leah Williams,G,26:47,,4,9,0,1,3,4,11,3,4,7,9,5,4,0,3,0,0,591793,591708,5731495
11.0,Maddi Cluse,G,21:12,,4,5,1,1,0,0,9,2,3,5,3,1,0,0,2,0,0,591717,591990,5736437
7.0,Summah Evans,F,20:37,,2,9,2,4,0,2,6,0,5,5,1,2,2,0,0,0,0,591717,591990,5736437
10.0,Kylee Kellermann,G,1:44,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,591717,591990,5736437
5.0,Hannah Kohn,G,22:20,,1,10,1,9,2,2,5,1,1,2,2,0,1,0,1,0,0,591717,591990,5736437
1.0,Loyal McQueen,G,26:11,,3,13,0,1,4,6,10,1,6,7,7,1,0,0,0,0,0,591717,591990,5736437
20.0,Morgan Miller,F,1:44,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,591717,591990,5736437
22.0,Tessa Miller,F,20:53,,7,8,0,0,3,3,17,3,3,6,1,2,2,1,1,0,0,591717,591990,5736437
12.0,Mia Moore,G,24:42,,4,10,0,1,1,1,9,4,7,11,2,4,2,0,2,0,0,591717,591990,5736437
30.0,Madi Ott,G,13:44,,1,3,1,3,0,0,3,0,2,2,3,0,0,0,0,0,0,591717,591990,5736437
31.0,Anya Poole,F,13:16,,3,5,0,0,0,0,6,1,3,4,1,0,0,2,0,0,0,591717,591990,5736437
14.0,Addie Porter,G,13:49,,1,1,0,0,2,2,4,1,1,2,1,2,1,1,2,0,0,591717,591990,5736437
