,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
12,,Kansas,,200:00,1,30,51,9,19,7,12,76,7,20,27,16,19,9,6,18,0,0,560831,561219,3974924
10,,Missouri St.,,200:00,1,28,52,4,8,12,20,72,13,19,32,16,23,11,0,21,1,0,561116,561219,3975299
11,,Wichita St.,,200:00,1,25,48,4,15,11,16,65,6,15,21,8,25,11,1,19,0,0,561219,561116,3975299
13,,Wichita St.,,200:00,1,26,63,7,17,15,21,74,13,34,47,19,20,5,4,20,0,0,561219,561003,3975823
10,,Oral Roberts,,200:00,1,28,73,3,18,17,23,76,14,29,43,10,10,10,2,20,0,0,561003,561219,3975823
12,,Wichita St.,,200:00,1,21,52,7,21,14,20,63,10,25,35,13,15,8,1,16,0,0,561219,561167,3976210
11,,Tulane,,200:00,1,26,63,4,21,4,9,60,15,25,40,16,15,6,0,17,1,0,561167,561219,3976210
12,,Rice,,200:00,1,27,65,6,24,16,23,76,14,23,37,11,16,16,2,21,0,0,561041,561219,3976630
10,,Wichita St.,,200:00,1,22,53,5,16,15,20,64,10,28,38,11,24,8,4,19,0,0,561219,561041,3976630
12,,UTSA,,200:00,1,31,81,5,21,7,13,74,23,29,52,22,10,5,6,15,0,0,561159,561219,3977083
11,,Wichita St.,,200:00,1,21,59,7,22,11,15,60,9,31,40,10,16,5,2,13,0,0,561219,561159,3977083
13,,Wichita St.,,200:00,1,18,64,1,19,12,19,49,15,18,33,11,19,12,2,13,0,0,561219,561135,3977561
11,,Temple,,200:00,1,30,59,7,18,5,8,72,13,33,46,21,25,8,4,16,1,0,561135,561219,3977561
12,,North Texas,,200:00,1,28,59,3,17,13,18,72,9,32,41,15,17,4,2,17,0,0,560969,561219,3978539
11,,Wichita St.,,200:00,1,24,60,9,21,11,19,68,10,25,35,10,17,7,3,18,1,1,561219,560969,3978539
13,,Wichita St.,,200:00,1,30,62,2,14,9,14,71,15,32,47,11,25,5,2,18,1,0,561219,560884,3978637
12,,Memphis,,200:00,1,24,69,3,19,15,20,66,16,19,35,10,17,12,1,20,1,0,560884,561219,3978637
13,,Tulsa,,200:00,1,31,62,14,30,17,28,93,10,36,46,20,14,6,3,15,0,0,561173,561219,3979103
12,,Wichita St.,,200:00,1,27,68,5,15,11,14,70,8,23,31,7,13,5,3,23,0,0,561219,561173,3979103
11,,Wichita St.,,225:00,1,33,80,7,17,8,11,81,16,39,55,19,14,3,4,19,1,0,561219,560584,3979867
9,,UAB,,225:00,1,27,73,10,35,19,24,83,10,33,43,12,9,4,4,13,0,0,560584,561219,3979867
12,,Wichita St.,,200:00,1,20,54,5,23,11,21,56,15,23,38,14,12,6,4,20,0,0,561219,560751,3980081
10,,Fla. Atlantic,,200:00,1,23,52,6,17,11,17,63,9,25,34,12,12,6,2,19,1,0,560751,561219,3980081
10,,Temple,,189:58,1,22,62,4,22,18,25,66,18,23,41,13,19,10,2,19,1,0,561135,561219,3980690
11,,Wichita St.,,200:00,1,23,56,6,13,13,18,65,10,25,35,13,17,8,1,20,0,0,561219,561135,3980690
11,,Wichita St.,,200:00,1,17,61,5,19,12,16,51,17,27,44,9,22,7,3,14,0,0,561219,560728,3981536
12,,East Carolina,,200:00,1,28,68,9,30,7,10,72,14,28,42,17,14,13,11,21,0,0,560728,561219,3981536
